	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.20.23.PLSEP17.R1__NA__NA__230929_WW__00X.variants.tsv
summarized	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.22652505103688597), ('EG.5* [Omicron (EG.5.X)]', 0.2196785738164685), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.1658456243724297), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.12148487700624812), ('Other', 0.09403750568454554), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.03484555526737288), ('XBB.2.3* (XBB.2.3.X)', 0.0287047696891148), ('XBB* (XBB.X)', 0.01866567590696675)]
lineages	EG.5.1.6 HY.1 XBB.1.16.11 XDB JF.1 FL.15 FL.1.5.1 HZ.1 HN.5 HK.3.12 XCY EG.6.1 GJ.1.2.6 XBB.1.16.6 EG.5.1.13 JF.1.1 XBB.1.16.15 XBB.1.16.17 EG.5.1.4 EG.10.1 EG.5.1.19 HT.1 XBB.1.16.23 GN.3 HZ.2 XBB.1.16.13 HK.5 XBB.1.16.5 XCZ FD.5.1 HK.9 HV.1.2 XBB.1.9.4 XBB.1.16.14 EG.5.1 EG.5.1.9 HN.3 JR.1 XBB.1.5.72 FL.15.2 FL.15.3 JF.3 FL.24.1 FL.13.5 JF.4 FL.2.3.1 HL.1 XBB.1.16.32 EG.5.1.16 HH.8.1 HK.6 HV.2 GY.9 GN.1.4 XBB.1.16.27 GA.7.1 GS.4.1 XBB.1.16.18 HR.1.1 FT.3.1 FL.2.4 JW.1.1 EK.2.1 EG.2.3 HS.1.1 HV.1.7 HK.13.1 XDG XBB.1.5.57 GY.3 XBB.1.5.27 FE.1.1.3 FL.13.3.1 GG.1 EG.5.1.12 FD.1.1 XBB.1.45.1 EG.11 HE.1 JC.5.1 XCT XCP GE.1.2.2 FU.1.1.1 XBB.1.5.105 FL.1.8 GD.3 FL.38 GJ.6 KM.1 XBB.2.3.8 FL.2.2.1 FL.1.2 JS.1 EG.5.1.10 JJ.1 EG.5.1.14 XDA HV.1.9 EG.5.1.15 HC.3 GS.7.1 XBL.1 HV.1.5 XCW
abundances	0.09429701 0.07763941 0.07168471 0.05467500 0.03975899 0.03527699 0.03103919 0.02914490 0.02829413 0.02741580 0.02405514 0.01928883 0.01873924 0.01804360 0.01704450 0.01639004 0.01599046 0.01497638 0.01265963 0.01249779 0.01151160 0.01031357 0.01000000 0.00988363 0.00940783 0.00888335 0.00882247 0.00846390 0.00812201 0.00797546 0.00787573 0.00786809 0.00578625 0.00548866 0.00503263 0.00478469 0.00475870 0.00449970 0.00310332 0.00308642 0.00306229 0.00289223 0.00284591 0.00267380 0.00263435 0.00261909 0.00253919 0.00250705 0.00242014 0.00239536 0.00228195 0.00217717 0.00216035 0.00207726 0.00207273 0.00198053 0.00191255 0.00185738 0.00181885 0.00181334 0.00180523 0.00173794 0.00173600 0.00173104 0.00172712 0.00159795 0.00155769 0.00154321 0.00148671 0.00147638 0.00145959 0.00145191 0.00144394 0.00144011 0.00143817 0.00140761 0.00139211 0.00132789 0.00129884 0.00129465 0.00127389 0.00127273 0.00125629 0.00124450 0.00122542 0.00119581 0.00118427 0.00115299 0.00115237 0.00113475 0.00112535 0.00111564 0.00111475 0.00110500 0.00108759 0.00108432 0.00108218 0.00107831 0.00107661 0.00105235 0.00105074 0.00101861 0.00101421 0.00101061 0.00100301
resid	16.316196353515195
coverage	98.47841353710331
