	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/10.18.23.ENCOCT13.R2__NA__NA__231027_WW__00X.variants.tsv
summarized	[('BA.2.86* (BA.2.86.X)', 0.8379027475713707), ('EG.5* [Omicron (EG.5.X)]', 0.031692836968035), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.005223781827413373), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.004394306144182259), ('XBB* (XBB.X)', 0.0042551626029953184), ('Other', 0.0035076568976644706), ('Omicron', 0.0023899088707352825), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.002379401417433614), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.001699889932457687), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0014857201223848337)]
lineages	JN.1.18.5 JN.1 JN.1.16 JN.1.26 EG.5.1.8 JN.1.58 FL.1.5.2 JN.1.39 EG.5.1.14 JN.1.67 JN.1.63 LB.1.6 MS.1 EG.5.1.16 JN.1.43 JN.1.23 JN.1.54.1 LF.10 GK.10 LF.2 JN.1.18.8 HK.3.12 JN.1.15 JN.1.39.1 XBB.1.34.1 JN.1.54 LY.2 JN.1.57.1 XBB.1.16.27 LZ.2.2 MD.2 HK.33 NS.2 EG.9 HK.34.1 HK.3.13 DV.7.1.6 HK.24.1 EG.5.1.13 JN.1.46 EG.11 XDY.10 LF.5 JN.3.3 LB.1.7.2 XDC EG.2.4 JN.1.16.2 HK.13.1 XDL LB.1.7.1 GW.1.1 EG.2.3 EG.5.1.12 LQ.1.2 XFP.2 XCR JN.1.27 EG.5.2.4 KY.1 XBB.1.9.6 EG.5.1.10 HK.11.1 LR.3 JN.1.38.1 KB.2
abundances	0.33886441 0.29529249 0.12374926 0.01476415 0.00816690 0.00484470 0.00439431 0.00432834 0.00423150 0.00420288 0.00326426 0.00316056 0.00305123 0.00298576 0.00284293 0.00266602 0.00266062 0.00242038 0.00237940 0.00224672 0.00219933 0.00219724 0.00211593 0.00202840 0.00200200 0.00184943 0.00179682 0.00176244 0.00169989 0.00166500 0.00165829 0.00163965 0.00163882 0.00156850 0.00156740 0.00154024 0.00148572 0.00140299 0.00136589 0.00134005 0.00129073 0.00127599 0.00126118 0.00122528 0.00122004 0.00121147 0.00120267 0.00119881 0.00119561 0.00119355 0.00117134 0.00116961 0.00116189 0.00114250 0.00111982 0.00111392 0.00110264 0.00109872 0.00109232 0.00108709 0.00108355 0.00106686 0.00106243 0.00105513 0.00105189 0.00103555
resid	16.347506222454037
coverage	97.7025716483296
