	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/10.13.23.PLOCT10.R2.rerun__NA__NA__231023_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.2736575073959181), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.1786475076815183), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.13369315039953705), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.13098060825109364), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.081033489410411), ('XBB.2.3* (XBB.2.3.X)', 0.037275172954239114), ('Other', 0.03500244082067795), ('XBB* (XBB.X)', 0.009302499134721344)]
lineages	FU.2 EG.6 HN.1 HV.1 HK.23 XBB.2.3 HV.1.2 GV.1 JF.1 FL.1.5.1 FL.1.5 HK.1 XBB.1.16.6 EG.5.1.16 XBB.1.16.13 HK.27 XCY FL.1.5.2 EG.5.1.13 HK.8 XBB.1.5.68 XDJ HT.2 XBB.1.5.49 XBB.1.16.19 EG.5.1.7 FL.6 XBB.1.5.91 HK.13 EG.5.1.4 FU.1.1 HV.1.11 HK.15 XBB.1.5.8 GK.1.1.1 HV.1.7 FL.2.2.1 XCR JG.1 XBB.1.16.7 XCP FL.8 XBB.1.5.76 XBB.1.5.78 GU.1 XBB.1.5.88 HV.1.1 XBB.1.16.24 HK.14 GA.6.1 KC.1.1 HK.16 EG.5.1.9 FL.22 HK.6 JD.1.1.6 XBB.1.43.1 FL.24 EG.14 GK.2.3 HK.9 GK.10 KN.1.1 HN.3 XBB.1.27 XBB.1.16.27 HK.3.9 XBB.1.5.37 HV.1.5 EG.7 EG.11 GK.1.8 GK.1.7 HK.3.13 GK.7 XBB.1.5.82 GW.1.1 HK.3.12 XBB.1.5.61 HZ.2 JF.4 XDG XBB.1.5.50 EG.2.3 HR.1.1 XBB.1.45.1 HK.29 HK.1.2 XBB.1.5.94 FL.26 FL.1.3 HK.30 XBB.1.5.109 JU.1 KA.1 GK.1.11.1 GK.1.11 EG.4.1 XBB.1.5.81 FL.11 XBB.1.16.15 EG.5.1.15 XBB.1.5.5 XBB.1.16.16 HH.8.1 GR.1 HT.1 FL.20.1
abundances	0.07664545 0.07316951 0.04180668 0.03976155 0.03881560 0.03501934 0.03215247 0.03118220 0.02958958 0.02448203 0.02320392 0.02280930 0.02201807 0.02134949 0.02120292 0.01586970 0.01423472 0.01408622 0.01391420 0.01317631 0.01214872 0.01175881 0.01082467 0.01082467 0.00994801 0.00961538 0.00923077 0.00883639 0.00848060 0.00815227 0.00725080 0.00724288 0.00705329 0.00692113 0.00596821 0.00558601 0.00449006 0.00404200 0.00400696 0.00384615 0.00352043 0.00327502 0.00321964 0.00321285 0.00312312 0.00287738 0.00284173 0.00278067 0.00255568 0.00249066 0.00236931 0.00232019 0.00231267 0.00229961 0.00228245 0.00218484 0.00212967 0.00205985 0.00201358 0.00196757 0.00188268 0.00184738 0.00181077 0.00180601 0.00179569 0.00179211 0.00176056 0.00174774 0.00172414 0.00169004 0.00168113 0.00167404 0.00163934 0.00158604 0.00157059 0.00156840 0.00154036 0.00149629 0.00148121 0.00147629 0.00144963 0.00144648 0.00140607 0.00136515 0.00135501 0.00134612 0.00131363 0.00130293 0.00129422 0.00126240 0.00123153 0.00122299 0.00122268 0.00121364 0.00113960 0.00112182 0.00112182 0.00111408 0.00111166 0.00108738 0.00107275 0.00106952 0.00105988 0.00105137 0.00104219 0.00103413 0.00100656 0.00100236
resid	17.041175754504756
coverage	98.44831622245259
