	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.27.23.ENCSEP25.R2__NA__NA__230929_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.6420015062397882), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.08693393933214139), ('XBB* (XBB.X)', 0.05927796514896354), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.05089317283590752), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.044395789524126816), ('Other', 0.02636646407820804), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.010845369664001795)]
lineages	EG.5.1.14 EG.5.1 EG.5.1.4 HV.1.2 EG.5.1.1 XBB.1.22.2 XBB.1.16.13 HN.1 FL.10 JJ.1 XBB.1.5.100 EG.5.1.13 XCY HV.1 HV.1.1 EG.5.1.3 XDJ FL.6 EG.5.1.9 HK.30 HK.15 FG.3 EG.2.2 XBB.1.5.35 HK.32 FL.8 EG.5.1.12 EG.7 JF.1.1 JF.4 EK.2 FL.10.3 XBB.1.9.6 HK.6 GK.7 EG.2.3 HF.1 FL.33 FL.22 FL.9 FL.20.1 FL.13.5 HK.3.13 FL.29 KM.1 EG.14 JF.1.1.1 HK.29 XBB.1.45.1 XCV GK.1.7 XBB.1.5.82 EG.4.2 HE.1 FL.30 XBB.1.12 XCG XBB.1.5.11 EG.5.1.16 XBB.1.16.27 XBB.1.5.109 HA.2 HK.31 XDL HP.1 HV.1.4 FL.4.7 FL.26 GK.10 HV.1.7 FL.27 HK.27 GK.2.1.1 HK.9 HU.2 HK.3.12 XDG JM.1 XDC XBB.1.5.31 XBB.1.5.74 GK.1.6.1 XBL.1 XBB.1.27 HN.6
abundances	0.18316800 0.13112507 0.09331528 0.07493326 0.06656521 0.05039311 0.04009232 0.03855347 0.02108761 0.02106130 0.01770020 0.01315040 0.01254874 0.01047938 0.00997824 0.00665552 0.00623972 0.00562692 0.00420875 0.00411765 0.00381679 0.00351020 0.00318470 0.00308216 0.00269906 0.00263762 0.00258462 0.00246773 0.00239993 0.00232932 0.00230297 0.00222747 0.00214157 0.00210167 0.00206871 0.00206315 0.00198025 0.00189573 0.00178998 0.00175758 0.00175439 0.00174520 0.00172572 0.00164690 0.00161404 0.00161119 0.00156006 0.00155231 0.00154923 0.00154321 0.00153139 0.00151871 0.00151860 0.00150171 0.00146252 0.00146033 0.00144742 0.00141937 0.00140916 0.00140167 0.00134132 0.00131062 0.00130924 0.00127389 0.00126807 0.00126394 0.00125026 0.00124327 0.00123077 0.00122549 0.00120700 0.00120106 0.00119861 0.00118332 0.00118306 0.00117107 0.00113867 0.00112962 0.00112414 0.00112061 0.00109869 0.00107935 0.00105067 0.00104895 0.00104803
resid	14.582045270773746
coverage	97.30461826572585
