	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.06.23.PLSEP04.R2__NA__NA__230911_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.3133548200150827), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.14049890009271895), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.13482095986374323), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.13422335359750034), ('XBB* (XBB.X)', 0.05285199274319861), ('XBB.2.3* (XBB.2.3.X)', 0.04029538374949438), ('Other', 0.0395319823652382), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.029113855283630256), ('Omicron', 0.003929500861497165)]
lineages	EG.5.1.4 HZ.1 JF.1 FL.1.5.1 HK.12 HK.19 EG.5.1.14 HN.1 HK.31 XDB GJ.1.2.6 HN.6 XBB.1.5.72 EG.6.1 HK.1 XBB.1.16.19 XBB.1.16.21 FU.1 HK.3.12 HV.1.1 XBB.1.5.6 XBB.1.16.18 HV.1.11 XBB.1.23 FL.2.4 JF.4 HK.9 FY.2.1 HU.1.1 XBB.1.16.7 EK.4 XBB.1.5.39 FT.3 XBB.1.16.8 XBB.1.16.20 XBB.1.16.15 FL.2.3.1 EG.5.1.9 XBB.1.9.7 XBB.1.42.2 XBB.1.16.11 XBB.1.5.88 HK.3.10 GJ.1.2.4 FL.22 FL.29 HC.3 GK.3.2 FL.4.8 XBB.1.16.27 FL.4.2 FU.4 EG.2.3 GJ.1.2.2 HK.30 XBB.1.5.76 HV.1.2 HU.1 JB.1.1 EG.2.4 EG.5.1.12 FL.13.5 FL.4.10 XBB.1.36 HU.2 XBB.2.10 HK.23 HK.6 KJ.1 XBB.1.5.109 XBB.1.5.50 XBB.1.27 FL.1.8 XBB.1.16.30 XCZ FW.3 FY.5.5.1 XBB.1.5.105 HL.1 HC.2 XBB.2.1 XBB.1.9.6 HK.3.3 XBB.1.5.82 XBB.1.16.10 XAU XBB.1.31 EK.2.1 FD.2 XCT.1 GN.3 EG.7 GY.8 EG.6.1.2 GG.1 XCR FU.5 FU.1.1.1 HK.13.1 XBB.2.9 JW.1.1 XDG EG.5.2.3 FL.4.4 GJ.1.1 HV.1.9 FL.10.3 FD.1.1 HV.1.4 JJ.1 JB.2.1 HV.1.10 BQ.1.1.75 HF.1.1 XCH.1 HK.3.4 HK.29 XCF.2 XCL HK.3.5 GS.6 BA.2.9.7 JF.3 FY.5.1.1 GJ.4 FY.1.4.1 GW.1.1 GJ.1.2.7
abundances	0.08853146 0.05553346 0.05198123 0.04605483 0.04019549 0.04004122 0.03288720 0.03231852 0.03093400 0.03002513 0.03000873 0.02529230 0.02420330 0.02141674 0.01692906 0.01259607 0.01207060 0.01050751 0.01046290 0.00878950 0.00848825 0.00781355 0.00767145 0.00761099 0.00657430 0.00635432 0.00602239 0.00591575 0.00564972 0.00529871 0.00502558 0.00471745 0.00471745 0.00453866 0.00412033 0.00407405 0.00394981 0.00376454 0.00357592 0.00350931 0.00350170 0.00340776 0.00326797 0.00320399 0.00316874 0.00310862 0.00299189 0.00298913 0.00295266 0.00293312 0.00283713 0.00263371 0.00259193 0.00252956 0.00251062 0.00243163 0.00235516 0.00230580 0.00216012 0.00214793 0.00211224 0.00207666 0.00207341 0.00207140 0.00206098 0.00206016 0.00203025 0.00201829 0.00199469 0.00193651 0.00184536 0.00183430 0.00180716 0.00178909 0.00178148 0.00177323 0.00177036 0.00176780 0.00175344 0.00174723 0.00172625 0.00170940 0.00170411 0.00170198 0.00166560 0.00163343 0.00158228 0.00157528 0.00155824 0.00150500 0.00150343 0.00148451 0.00147510 0.00147275 0.00145669 0.00144860 0.00143459 0.00142496 0.00140101 0.00135500 0.00134538 0.00133652 0.00131521 0.00131503 0.00130947 0.00130854 0.00129177 0.00126086 0.00125601 0.00124252 0.00120395 0.00119071 0.00118233 0.00118150 0.00116365 0.00114992 0.00114188 0.00113701 0.00113459 0.00112119 0.00111508 0.00111374 0.00110982 0.00109625 0.00109625 0.00108676 0.00105932 0.00103230
resid	14.882241649696251
coverage	98.06373942413805
