	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.29.23.PLSEP26.R1__NA__NA__230929_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.39475781263395215), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16029055011223695), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.1150542964917262), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.09072970540970235), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.05814185204089767), ('Other', 0.03122090297524404), ('XBB.2.3* (XBB.2.3.X)', 0.019584923265094346), ('XBB* (XBB.X)', 0.010554046090094017), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.005626877942705642), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0010999273729793853)]
lineages	EG.5.1.4 HK.19 EG.5.1.1 HV.1 FL.1.5.1 HV.1.2 EG.6.1 HN.1 GK.1.1 XBB.1.5.1 GK.3 FL.1.5 HK.31 EG.5.1.13 XBB.1.16.19 GJ.1.2.6 HV.1.5 XBB.1.5.35 HZ.1 FU.2 XBB.1.5.47 XBB.1.16.6 XBB.1.16.4 XBB.1.5.31 XDJ JD.2 JF.1 XBB.1.5.14 HV.2 EG.5.1.16 JZ.1 HY.1 XBB.1.16.13 EG.2.3 XBB.1.16.7 JM.1 EG.5.1.12 JF.4 XCT.1 EG.7 HV.1.6.1 XBB.1.5.100 EG.11 HF.1 HK.29 HK.23 XBB.1.5.59 FD.4 XBB.1.16.15 XBB.1.16.24 JG.1 XBB.1.16.27 XBB.1.5.17 CH.1.1.24 FL.2.4 XDL EG.5.1.9 FL.22 XCK XCP XBB.1.5.99 JC.4 FE.1.1.3 JD.1.1.6 XBB.1.16.32 XDG XBB.1.5.16 JD.1.1.5 FL.1.8 XBB.1.5.10 KN.1 HK.30 HC.2 HK.6 HA.1 XBB.1.16.25 DV.7.1.1 GY.9 XCV FL.13.5 FL.18.1.1 XBL.1 XCG XCH.1 KB.3 HK.13.1 XBB.1.16.5 HK.3.9 HK.28 HK.3.5 EG.9 GS.4 HK.3.12 XBB.1.45.1 GE.1.2.2 XCR KJ.1 FL.2.2 HV.1.7 JD.1.2.1 HH.8.1 HP.1 XCQ XBB.1.5.82 EK.3 JD.1.1.4 FL.30 HV.1.10 XBB.1.5.108 FL.20.1 JF.1.1.1 DV.7.1.9 XBB.1.27 HE.1 GJ.1.2.5 CA.1 EG.6.1.1 XBB.1.36 EG.12 EG.2.1 JD.1.1.3 GJ.5.1 FL.24.1 XBB.1.5.109 FL.1.2 FY.5.4 GK.1.6.1 GJ.6
abundances	0.08366885 0.07862880 0.05382284 0.04532172 0.04494148 0.04077900 0.03951127 0.03793848 0.01885069 0.01817917 0.01628913 0.01570983 0.01555970 0.01415090 0.01316211 0.01235334 0.01233550 0.01204550 0.01075573 0.01048712 0.01017031 0.00917903 0.00851120 0.00792773 0.00776965 0.00705521 0.00667642 0.00653811 0.00646906 0.00634309 0.00580219 0.00534398 0.00523527 0.00519804 0.00498753 0.00494315 0.00470478 0.00453028 0.00444444 0.00441799 0.00437962 0.00437580 0.00433246 0.00429942 0.00390344 0.00373246 0.00356940 0.00306309 0.00300579 0.00299833 0.00286549 0.00267296 0.00264793 0.00262897 0.00260547 0.00259448 0.00258028 0.00248439 0.00245223 0.00241216 0.00240369 0.00239962 0.00238673 0.00236247 0.00233323 0.00229700 0.00223933 0.00220258 0.00220192 0.00205091 0.00204028 0.00201872 0.00199275 0.00197214 0.00194596 0.00191459 0.00186981 0.00175175 0.00172674 0.00171990 0.00170320 0.00168058 0.00162746 0.00161031 0.00160944 0.00159226 0.00156348 0.00151143 0.00149031 0.00143882 0.00142146 0.00140596 0.00140471 0.00139885 0.00136888 0.00135012 0.00133649 0.00132024 0.00129641 0.00126796 0.00125915 0.00125911 0.00125573 0.00121216 0.00120434 0.00118624 0.00118043 0.00117805 0.00115046 0.00114346 0.00114155 0.00112810 0.00112233 0.00111566 0.00111421 0.00109993 0.00109824 0.00108776 0.00108131 0.00108108 0.00108059 0.00106506 0.00106114 0.00105899 0.00104436 0.00104310 0.00101877 0.00101833
resid	15.320730278178896
coverage	98.4282513460188
