	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.27.23.ENCSEP21.R2__NA__NA__230929_WW__00X.variants.tsv
summarized	[('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.7923630911484321), ('EG.5* [Omicron (EG.5.X)]', 0.06044047901277071), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.029460218891279217), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.023358662663829983), ('XBB* (XBB.X)', 0.010562696174950318), ('XBB.2.3* (XBB.2.3.X)', 0.004068040738192233), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.001694491193974858), ('Other', 0.0010090789079112681)]
lineages	EG.6.1 EG.5.1.4 XBB.1.16.13 FT.3.1 EG.5.1.9 HK.6 HZ.1 JF.1.1 HK.13.1 XBB.1.42.2 EG.10.1 EG.5.1.14 JF.4 EG.5.1.12 HF.1.1 EG.4.2 GJ.1.2.5 HZ.2 XBB.1.16.27 HN.1 FY.2.1 HK.3.12 GW.1.1 HL.1 EG.2.3 EG.14 KJ.1 HV.2 JJ.1 FY.6.2 GN.1.4 HV.1.1 HF.1.2 FU.5 EG.9.1 XBB.1.16.16 XBB.1.5.105 HA.2 GE.1.2.2 JF.3 HV.1.9 EK.2 EU.1.1.3 HK.3.2.2 XBB.3.1 GJ.4 XDG
abundances	0.78314245 0.03022493 0.01226417 0.01021940 0.00726552 0.00633734 0.00525839 0.00411339 0.00359164 0.00324931 0.00290583 0.00272483 0.00255350 0.00223513 0.00210672 0.00193097 0.00193050 0.00189388 0.00183619 0.00169449 0.00164438 0.00162420 0.00160977 0.00160098 0.00159455 0.00147638 0.00147565 0.00145438 0.00143787 0.00142912 0.00142057 0.00141809 0.00138435 0.00138265 0.00131291 0.00125809 0.00123471 0.00119065 0.00111881 0.00108551 0.00107722 0.00107411 0.00106695 0.00104932 0.00102914 0.00101873 0.00100908
resid	11.302259247916716
coverage	97.08056047888172
