	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.13.23.SBSEP07.R1__NA__NA__230922_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.3879486877950827), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.16298662478507403), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.1385802640035501), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.09175742788905994), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.08289531665727853), ('Other', 0.03817999229533936), ('XBB* (XBB.X)', 0.008678857789677424)]
lineages	EG.5.1.4 EG.2 HZ.1 HK.29 EG.6.1 XBB.1.16.1 HN.5 XCY FU.2 FL.2.4 XBB.1.16.19 HK.31 EG.5.1.1 EG.5.2 XBB.1.16.17 HV.1 XBB.1.16.11 EG.5.1.7 HK.23 FL.24 HK.27 EG.5.1.15 EG.5.1.13 EG.5.1.9 HK.30 EG.5.1.16 FU.5 GK.10 FL.22 HK.6 FL.2.3.1 EK.2.1 EG.2.2 FL.2.2 HN.6 JR.1 JG.4 EG.2.3 HV.1.7 XDG GY.9 XBB.1.16.21 XDL HK.17 KC.1 XBB.1.27 XBB.1.16.27 HK.13.1 GK.7 XBB.1.5.50 EG.5.1.2 FY.6.2 EG.6.1.2 HV.1.10 FL.1.8 FL.38 EG.11 GY.3 JF.3 XBB.1.16.10 HU.2 FY.2.1 XBB.1.16.25 EG.7 XBB.1.16.24 XBB.1.16.13 XBB.1.16.7 EG.14 FL.4.4 HL.1 EG.5.1.12 HR.1.1 EG.5.1.10 HK.3.12 XBB.1.9.6 FL.4.5 JJ.1 FL.2.7.1 HK.7 XBB.1.5.109
abundances	0.19641823 0.08252811 0.08083770 0.07041430 0.07034534 0.04102813 0.03468738 0.03431611 0.03135923 0.02551191 0.02270900 0.02191030 0.01920777 0.01837069 0.01698885 0.00877845 0.00846010 0.00588928 0.00484462 0.00467972 0.00415988 0.00391833 0.00355705 0.00317822 0.00306958 0.00292248 0.00274549 0.00273718 0.00253165 0.00249835 0.00246645 0.00243817 0.00240178 0.00233574 0.00232713 0.00216138 0.00210268 0.00201957 0.00198173 0.00193772 0.00193450 0.00193125 0.00192616 0.00189270 0.00187970 0.00187091 0.00179578 0.00179319 0.00177508 0.00171304 0.00170213 0.00169810 0.00157767 0.00151428 0.00150250 0.00149165 0.00146718 0.00146628 0.00143656 0.00140568 0.00137277 0.00136127 0.00135212 0.00134862 0.00132931 0.00132119 0.00131680 0.00129836 0.00127724 0.00124201 0.00121433 0.00120627 0.00114540 0.00114377 0.00113379 0.00112372 0.00109649 0.00108052 0.00106308 0.00104999
resid	15.693021092523644
coverage	98.22760258168077
