	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.20.23.PLSEP18.R1__NA__NA__230929_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.2641526605112484), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.17198483659164582), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.16546050905213117), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.15383088156337388), ('Other', 0.10398875851404653), ('XBB* (XBB.X)', 0.03225893502458717), ('XBB.2.3* (XBB.2.3.X)', 0.020339242086187214), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.004725265991513216)]
lineages	XDJ HK.29 XBB.1.16.19 HV.1 HN.5 HZ.1 EG.5.1.13 EG.5.1.4 GN.1.1 XBB.1.16.13 XBB.1.5.65 XCY EG.5.1.6 XBB.1.16.11 FL.2.4 HN.3 HF.1 XBB.1.42.1 HV.1.2 HZ.2 XBB.1.5.10 XBB.1.16.12 JG.4 GK.1.1 FL.6 GJ.1.2.6 XBB.1.16.4 GJ.1.2.2 XCZ GV.1 HK.30 FL.26 HN.1 HN.4.2 GD.2 FL.22 FU.1.1.1 HN.7 HK.18 HK.13.2.1 XBB.1.16.24 FL.8 HN.4 HV.1.9 GJ.5 XBB.1.5.76 EK.2.1 GK.1.3 FL.10.3 FL.2.2 FL.2.3.1 HF.1.1 XDG XBB.1.16.31 FL.24.1 XBB.1.16.18 XBB.1.16.5 HV.1.5 XBB.1.5.99 FU.5 KJ.1 JR.1.1.1 EG.6.1 XBB.1.5.94 FL.20.1 GG.1 XBB.1.20 HV.1.4 GJ.3 HK.11.1 FL.3.4 XBB.1.5.109 HV.1.7 XBB.1.48 FL.9 HN.2 EG.5.1.14 HK.13.1 EG.2.4 FL.30.1 EG.5.1.12 XBB.1.45.1 FL.13.2.1 HK.3.12 XBB.1.16.28 FL.38 HH.8.1 XBW FZ.2 HJ.1 HN.3.1 HK.7 FY.5.1.1 XBB.1.5.19 FL.4.4 EG.2.3 HR.1.1 XBN XBB.8.1 GA.4.1.2 EK.1 FT.3 XBB.1.16.27 FY.6.2 FL.18 JB.1.1 FE.1.1.3 FL.32.1 XCT.1 FH.1 FL.19.1 XBB.1.27 HV.1.6.1 XBL.1 GK.1.7
abundances	0.06402300 0.05765943 0.05719780 0.05690564 0.04718523 0.03754970 0.03320630 0.03152498 0.03061643 0.03020508 0.02748044 0.02730099 0.02643423 0.02570205 0.02387751 0.01723515 0.01720676 0.01619553 0.01498800 0.01367520 0.01348038 0.01252479 0.01209311 0.01129963 0.01105120 0.00847720 0.00662031 0.00608899 0.00571931 0.00525056 0.00495663 0.00491310 0.00485776 0.00437919 0.00429963 0.00422450 0.00407332 0.00388098 0.00313398 0.00311880 0.00297619 0.00283643 0.00280014 0.00278980 0.00274238 0.00271257 0.00269146 0.00262731 0.00262421 0.00251889 0.00245098 0.00227757 0.00226886 0.00224978 0.00218818 0.00212134 0.00211416 0.00208333 0.00207577 0.00206292 0.00205580 0.00196271 0.00193599 0.00184162 0.00181488 0.00177322 0.00175747 0.00166572 0.00163597 0.00163094 0.00160951 0.00160462 0.00159363 0.00158851 0.00158517 0.00158103 0.00157812 0.00156460 0.00154162 0.00153139 0.00147420 0.00144928 0.00144196 0.00144132 0.00143472 0.00140795 0.00139470 0.00139465 0.00137931 0.00137285 0.00133869 0.00131692 0.00130354 0.00129433 0.00125217 0.00124766 0.00122639 0.00120749 0.00119460 0.00119190 0.00118412 0.00117285 0.00116225 0.00115260 0.00110497 0.00108932 0.00108746 0.00108637 0.00106333 0.00106059 0.00105337 0.00103842 0.00103027 0.00101112 0.00100184
resid	15.17519962414828
coverage	97.29792997358125
