	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.27.23.SBSEP24.R2__NA__NA__230929_WW__00X.variants.tsv
summarized	[('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.38712835496977405), ('EG.5* [Omicron (EG.5.X)]', 0.3146732326057262), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.096050736047423), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.03969164662943055), ('Other', 0.030883713988233714), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.030399672807063755), ('XBB* (XBB.X)', 0.022067077323549397)]
lineages	EG.6.1 EG.5.1.4 EG.2 HV.1 EG.5.1.13 HK.23 FL.1.5.1 HK.31 XBB.1.16.15 FL.10.1 XDB XBB.1.42.1 HZ.1 HN.5 HN.1 EG.5.1.7 JJ.1 HY.1 XDA HV.1.2 KM.1 EG.5.1.12 XBB.1.5.82 EG.5.1.2 EG.5.1.16 XBB.1.5.81 EG.2.3 XBB.1.16.13 XDG HV.1.4 HV.1.7 XBB.1.16.27 XBB.1.16.24 FY.2.1 EG.11 JF.4 HK.3.12 XDE XBB.1.16.31 HU.2 GB.2 EG.9 HV.1.5 GA.6.1 HK.6 EK.2.1 HV.2 HK.32 FL.2.2 JM.1 HK.13.1 HS.1.1 XCQ
abundances	0.31928896 0.09637139 0.06290918 0.05366402 0.04783690 0.04767776 0.04195579 0.03749133 0.03026801 0.02620436 0.02316910 0.01790920 0.01488212 0.01363947 0.01311759 0.00587544 0.00461121 0.00448597 0.00322672 0.00280967 0.00280357 0.00256500 0.00250756 0.00238663 0.00236232 0.00215750 0.00209455 0.00203524 0.00197194 0.00188314 0.00182768 0.00182223 0.00159872 0.00159245 0.00157440 0.00142857 0.00141994 0.00141663 0.00141369 0.00134814 0.00127551 0.00126127 0.00123457 0.00121729 0.00121233 0.00118167 0.00117845 0.00115207 0.00113353 0.00112518 0.00111338 0.00110578 0.00109934
resid	15.666395283484475
coverage	97.48520215363007
