	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/11.03.23.PLOCT31.R1__NA__NA__231109_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.48409405713769554), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.12617065600934332), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.0938909606436765), ('XBB* (XBB.X)', 0.08387583184646791), ('Other', 0.06316726291495862), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.03805402022397027), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.018297134097727867), ('BA.2.86* (BA.2.86.X)', 0.004662082175829458), ('A', 0.0010281813955029266)]
lineages	HV.1 EG.5.1.6 XBB.1.42 XBB.1.16.20 EG.5.1.4 HN.3 FL.1.5.2 XBB.1.16.26 EG.6.1 HV.1.2 XDB XCH.1 JG.3 JG.3.3 JF.1 HN.5 XCZ XCH XBB.1.16.15 HV.1.3 XBB.1.16.19 FW.1 FL.29 FL.8 HV.1.7 XCP JF.3 XBB.1.34.1 JD.1.1 EG.5.2.3 EG.4.1 FL.6 XBB.1.16.25 JD.2.1 XDA XBB.1.5.82 HV.1.10 FL.24 GU.1 EG.5.2.1 FL.22 XBB.1.5.50 XBB.1.16.16 FL.4.4 JD.1.1.6 GD.2 XBB.1.16.24 XBB.1.16.27 EU.1.1.3 EG.5.1.12 FY.2.1 EG.9 EG.2.4 XBB.1.16.11 JF.4 HK.27.1 EG.4.2 HK.13.1 EG.6.1.2 JB.1.1 XDG FL.4.6 FU.5 FL.30.1 JD.1.2.1 FL.16 JN.3.1 EG.4.4 KJ.1 FL.1.8 XBB.1.47.1 XBB.1.15.1 HN.7 MD.3.1.2 FW.1.1.1 JN.1.57.1 XBB.1.16.32 FP.1 KB.1 KR.4.1 XBB.1.16.28 XBB.3.1 HK.14 HV.1.9 EG.5.1.9 FL.2.3.1 A.6 EG.2.3 HK.3.12 HV.2 GW.1.1 HK.34.1
abundances	0.21120691 0.16161171 0.06505466 0.05318419 0.03045488 0.02867142 0.02763390 0.02726059 0.02714184 0.01876169 0.01838705 0.01700924 0.01671310 0.01671310 0.01361284 0.01227427 0.01091204 0.00985347 0.00753493 0.00613497 0.00564294 0.00559124 0.00510577 0.00379702 0.00356506 0.00335946 0.00304878 0.00297697 0.00290613 0.00265252 0.00263296 0.00257052 0.00243902 0.00240577 0.00229303 0.00227766 0.00225108 0.00224618 0.00222952 0.00216263 0.00215054 0.00213068 0.00212239 0.00209825 0.00199147 0.00190304 0.00185578 0.00166138 0.00165639 0.00159065 0.00157978 0.00156740 0.00154354 0.00152107 0.00152005 0.00150369 0.00150207 0.00146321 0.00142908 0.00139130 0.00135298 0.00133690 0.00132353 0.00130947 0.00130822 0.00129032 0.00123905 0.00121359 0.00121212 0.00119119 0.00118765 0.00118730 0.00118554 0.00118205 0.00118064 0.00114512 0.00114478 0.00113543 0.00112812 0.00109586 0.00108625 0.00107106 0.00106496 0.00104080 0.00103950 0.00102966 0.00102818 0.00102354 0.00101772 0.00101626 0.00100806 0.00100150
resid	20.097518706680912
coverage	98.17409624452397
