	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/11.01.23.PLOCT30.R1__NA__NA__231109_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.4548155226931968), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.17838024617162326), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.0817276696239418), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.0625988477136304), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.05903883109715669), ('Other', 0.04418563547168563), ('BA.2.86* (BA.2.86.X)', 0.011486573080082286), ('XBB* (XBB.X)', 0.008541368584334677), ('XBB.2.3* (XBB.2.3.X)', 0.0012329808311715101)]
lineages	HV.1 HK.19 FL.1.5.1 JF.1 EG.10 HV.1.1 HV.1.10 HN.5 JG.3 HN.1 FL.1.5.2 XBB.1.16.6 EG.5.1.15 FT.3.1.1 JF.1.1.2 XDJ EG.5.1.11 EG.5.1.13 XDN JR.1.1 EG.5.1.12 EG.7 XCP GK.1.1 HK.13.2 XBB.1.5.63 JF.1.1 HN.3 EG.5.1.9 EG.4.5 HK.6 FL.6 HZ.1 XDW JD.1.1.6 EG.11 HK.34.1 FL.8 FL.2.3.1 FL.2.1 FL.4.5 HK.31 EG.8 FL.33.1 XCR XDQ XCH.1 XCZ JF.4 FL.22 JG.3.1 HK.9 EG.14 FL.4.4 FL.9 XDT JD.1.2.2 FL.13.5 HV.1.9 HV.1.7 HK.13.1 JZ.1 FL.23 JD.1.1.4 MD.1.1.1 GG.1 EG.2.3 HK.3.12 FL.24 HT.1 FL.4.6 EU.1.1.3 XBB.1.16.15 XDG FL.20.1 JN.19 XCV XBB.1.16.27 EK.3 HV.1.4 HV.1.2 XBB.1.5.50 XBB.1.5.99 FL.39.1 XBB.1.5.105 MV.1.3.1 FL.1.8 JM.1 FL.32.1 JD.1.1.5 HV.2 HN.6 JD.1.1.1 XBB.1.5.109 GK.10 HJ.1 FL.30 KT.1.2 GB.2 FL.2.7 XDD.1.1.1 MP.1 LS.1 FL.3.4 HK.23 XBB.1.5.74 JN.3.2 XBB.1.34.1 GK.6 JW.1.1 FE.1.1.4 LS.2.1.1 FL.26 EG.2.1 HK.13.2.1 JQ.2 XCS XBB.1.27 JN.1.66 XBB.1.9.6 JB.1.1 FY.2.1 XBB.1.24.3 GA.10.1 JF.3 GK.4 EG.5.1.5
abundances	0.18197139 0.11138955 0.07678225 0.04247841 0.04185551 0.03033399 0.02559554 0.02191463 0.02154063 0.01652478 0.01562671 0.01525394 0.01398289 0.01288515 0.01119820 0.00955663 0.00930265 0.00831169 0.00820917 0.00702813 0.00650538 0.00630915 0.00626866 0.00583237 0.00572719 0.00521808 0.00498679 0.00474391 0.00459559 0.00393432 0.00373785 0.00360531 0.00351855 0.00327869 0.00317248 0.00315809 0.00307590 0.00305395 0.00283117 0.00281656 0.00270709 0.00261596 0.00248245 0.00246819 0.00243605 0.00240734 0.00234192 0.00233590 0.00225332 0.00224921 0.00208919 0.00207865 0.00207838 0.00207430 0.00199703 0.00192061 0.00191205 0.00191183 0.00190476 0.00189274 0.00188472 0.00183150 0.00180292 0.00171821 0.00171682 0.00169414 0.00168445 0.00168136 0.00167652 0.00165641 0.00165047 0.00162709 0.00162606 0.00161962 0.00160772 0.00159856 0.00154560 0.00152207 0.00151214 0.00148765 0.00146521 0.00145513 0.00144893 0.00144066 0.00143524 0.00140240 0.00140056 0.00139665 0.00139340 0.00137541 0.00135135 0.00134743 0.00133738 0.00133014 0.00126508 0.00124771 0.00124741 0.00123298 0.00122714 0.00121683 0.00121012 0.00120119 0.00119781 0.00118239 0.00117047 0.00116202 0.00114761 0.00114495 0.00113993 0.00112842 0.00111760 0.00110955 0.00110701 0.00109649 0.00109409 0.00106660 0.00105532 0.00105152 0.00104603 0.00103546 0.00103403 0.00102302 0.00102207 0.00101833 0.00101222 0.00100252 0.00100100
resid	19.08122015738025
coverage	97.48185800755778
