	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/10.18.23.PLOCT15.R2__NA__NA__231027_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.5320951168582992), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.12437026317242741), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.09918150732277689), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.07511568355002421), ('XBB.2.3* (XBB.2.3.X)', 0.025037860673837377), ('Other', 0.015069214881882625), ('XBB* (XBB.X)', 0.009210876162444483), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.005928099498179179), ('Omicron', 0.0021597739911617775)]
lineages	HV.1 EG.5.1.4 EG.5.1.6 FL.1.2 HK.19 HK.27 JJ.1 HK.23 HK.11 HV.1.1 JG.3.2 XBB.1.16.19 XBB.1.5.73 HN.3 FU.2 FL.6 JF.1 EG.5.1.16 XBB.1.16.15 JE.1 EG.5.1.12 GN.1.1 GK.1.1.1 HK.28 JF.1.1 HN.2 FL.1.5.1 GK.1.1 HK.2 HK.31 EG.5.1.9 XBB.1.16.4 EG.5.1.13 HZ.1 XCZ EG.5.1.7 FL.4.5 XBB.1.16.6 KK.1 FL.1.5.2 HK.13 GV.1 EG.5.2.3 HK.13.1 GK.1.4 KJ.1 XBV HV.1.2 FL.1.8 HK.15 FU.5 HK.3.13 EG.9 HK.30 FL.24 EG.2.3 XBB.1.27 GJ.1.2.1 GS.4 GJ.1.2.4 GK.8.1 EG.5.1.2 FL.1.5 XCQ HV.1.7 XBB.1.16.27 GJ.1.2.5 XCH.1 EG.5.1.15 HK.3.12 JG.3.1 FL.2.3.1 HA.2 HZ.2 XCR JF.3 HK.23.1.1 JF.4 GJ.6 JD.2 EG.5.2.1 HF.1.2 XBB.1.5.50 FL.22 FY.2.1 XBB.1.19.2 KC.1 XBB.1.5.102 HE.1 HV.1.10 XDG HV.2 XBB.2.3.18 JD.1.1.5 FL.2.2 EG.4.2 GB.2 HK.3.4 BW.1.1.1 CM.8.1.1 XBB.2.3.17 XBB.1.9.6 XBB.1.43.1 XBB.1.45.1 JF.1.1.1
abundances	0.08347616 0.07479703 0.06659200 0.05071490 0.04717624 0.03507010 0.02967210 0.02684233 0.02304344 0.02261790 0.02129000 0.01959281 0.01953862 0.01891612 0.01691837 0.01600378 0.01572707 0.01461790 0.01440030 0.01268765 0.01039277 0.00986786 0.00925018 0.00910470 0.00834771 0.00813448 0.00808621 0.00783046 0.00697450 0.00685533 0.00592593 0.00579860 0.00541156 0.00538972 0.00531012 0.00530501 0.00516739 0.00502761 0.00474076 0.00459108 0.00418207 0.00353709 0.00306492 0.00300792 0.00298115 0.00296684 0.00293945 0.00286099 0.00282586 0.00269542 0.00262683 0.00255102 0.00252158 0.00236220 0.00233432 0.00229588 0.00228311 0.00226114 0.00221571 0.00219476 0.00209801 0.00207254 0.00205303 0.00202722 0.00198216 0.00193911 0.00192620 0.00187970 0.00184230 0.00183222 0.00182198 0.00177565 0.00176866 0.00173643 0.00173240 0.00172671 0.00170358 0.00166038 0.00157480 0.00153367 0.00152050 0.00142720 0.00139644 0.00138340 0.00136752 0.00129127 0.00126951 0.00119714 0.00119133 0.00118040 0.00118033 0.00114526 0.00114025 0.00113953 0.00111453 0.00111064 0.00110998 0.00110466 0.00108731 0.00107246 0.00103735 0.00102902 0.00102543 0.00102319 0.00102197
resid	17.128513359932782
coverage	97.81627261478782
