	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.20.23.ENCSEP15.R1__NA__NA__230929_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.42135233258564314), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.14901597757179877), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.08656433910477182), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.08540902489749826), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.07368417579395224), ('Other', 0.04976518618123466), ('XBB* (XBB.X)', 0.037201604756451546), ('XBB.2.3* (XBB.2.3.X)', 0.009756455665810678)]
lineages	EG.5.1.4 HV.1.1 EG.5.1.1 XBB.1.9.2 FL.1.5 HK.6 HK.29 EG.5.1.16 XDC XBB.1.16.31 HK.19 HF.1 JF.1 HF.1.1 XBB.1.9 XBB.1.5.45 EG.5.2 XBB.1.16.19 XBB.1.5.65 XBB.1.5.76 XCZ XBB.1.42 JF.4 GY.3 XBB.1.16.6 XBB.1.16.20 EG.5.1.15 XBB.1.5.91 XBB.1.5.78 HN.5 XBB.1.5.61 XBB.1.16.29 GJ.2 FL.1.5.2 FL.2.4 EG.4 EG.5.2.3 XBB.1.16.14 XBB.1.5.99 FU.5 XDG XBB.1.5.66 GY.9 XCP HV.2 JF.3 GK.10 FL.2.3.1 EG.5.2.1 XBB.1.8 EG.5.1.12 HK.3.3 HA.1 XBB.1.16.24 XBB.1.16.9 FL.2.1 GK.7 FL.20 XBB.1.5.13 EG.2.3 XBB.1.37.1 XBB.1.5.35 XBB.1.45.1 GY.6 XBB.1.16.2 HV.1.5 FE.1.1.4 FT.1 XBB.1.5.50 XBB.1.5.39 XBB.1.5.33 XBB.1.16.32 FU.1.1 XBB.2.3.17 HZ.2 HK.31 FL.2.6 JD.1.1.6 EK.2 XBB.1.14.1 HK.18 HV.1.7 JD.1.1.5 EG.5.2.2 XBB.1.5.64 XBB.1.5.6 XBB.1.5.82 HK.13.1 XCW GJ.1.2.4 HK.3.12 JM.2 GK.12 EG.4.1 GJ.3 XBB.2.3.16 XBB.1.16.27 HK.11 GA.5 XBB.1.25 FY.2.1 HP.1 XBB.1.11 FL.38 EG.2.4 HF.1.2 XDL EG.11 XBB.1.43 HV.1.10 FL.1.2 EG.5.1.14 FU.4 HQ.1 KJ.1 XBB.1.5.49 HK.3.2.2
abundances	0.10684953 0.06866073 0.06524667 0.06439178 0.06169901 0.03750000 0.03554210 0.03500303 0.03329487 0.02878505 0.02667207 0.01814993 0.01624239 0.01451840 0.01371393 0.01321951 0.01106301 0.01064880 0.00898777 0.00865238 0.00830995 0.00790182 0.00732341 0.00709220 0.00631080 0.00617284 0.00601862 0.00556883 0.00546937 0.00495682 0.00480603 0.00456621 0.00432900 0.00418044 0.00398881 0.00382202 0.00345487 0.00329768 0.00328260 0.00314142 0.00292884 0.00282557 0.00278551 0.00273437 0.00269360 0.00264793 0.00259067 0.00258604 0.00256369 0.00253805 0.00246479 0.00246301 0.00240269 0.00217824 0.00216933 0.00213221 0.00210664 0.00206607 0.00205048 0.00204927 0.00202224 0.00196574 0.00195312 0.00192262 0.00192262 0.00190931 0.00188724 0.00188228 0.00185590 0.00183396 0.00179688 0.00178972 0.00177148 0.00173136 0.00172967 0.00167434 0.00164528 0.00163159 0.00159829 0.00155957 0.00152535 0.00152491 0.00151745 0.00150538 0.00150304 0.00144162 0.00143747 0.00141044 0.00140138 0.00135734 0.00134362 0.00126678 0.00126577 0.00122698 0.00117611 0.00116264 0.00116034 0.00115993 0.00115673 0.00113766 0.00113091 0.00111534 0.00111432 0.00110550 0.00110253 0.00110187 0.00109577 0.00109160 0.00108602 0.00105486 0.00104885 0.00104846 0.00103520 0.00102635 0.00101522 0.00100048 0.00100000
resid	14.262448916575805
coverage	94.96706016118785
