	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/10.04.23.SBSEP28.R2__NA__NA__231006_WW__00X.variants.tsv
summarized	[('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.3207029723473332), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.22512194176824188), ('EG.5* [Omicron (EG.5.X)]', 0.19044295688913762), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.1366158651263657), ('Other', 0.04168935214849636), ('XBB* (XBB.X)', 0.009920905237537494), ('XBB.2.3* (XBB.2.3.X)', 0.008452241869897202), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.005974105520240306)]
lineages	XBB.1.16.15 XBB.1.9.2 EG.5.1.4 HZ.1 XBB.1.16.17 EG.5.1.14 EG.1 EG.6 XBB.1.16.4 GY.3 XDC XBB.1.5.91 FU.1 XBB.1.5.94 EG.5.1.6 HK.17 XDF XBB.1.16.25 HK.19 XBB.1.16.10 XBB.1.5.5 XBB.1.5.78 XBB.1.16.2 XBB.1.5.68 XCF.1 HV.1.3 XBB.1.5.80 GJ.1.2 HK.7 FU.2.1 HK.29 XBB.1.5.76 EG.5.2.2 XBB.1.5.88 XBB.1.5.109 EG.7 XBB.1.5.61 GJ.1.2.5 FE.1.1.4 XBB.1.16.19 HR.1.1 EG.9 XBB.1.16.21 HK.6 XBB.1.5.27 XBB.1.16.27 HA.2 FL.38 XBB.1.16.30 XBB.1.16.32 HK.31 XBB.1.16.14 EG.11 XBB.3.1 XBB.1.5.11 XBB.1.16.29 XBB.1.47 FY.6.2 XBB.1.45.1 XCV EG.5.1.10 XBB.1.5.82 XBB.1.5.19 FL.24.1 XBB.1.16.5 FL.10.1 JF.3 XBB.1.5.50 FL.1.5 XBB.1.16.16 EK.1 HZ.2 XBB.1.16.7 JB.1.1 XCS HV.1.4 XBB.1.5.63 GA.8.1 XBB.1.5.99 GJ.1.2.4
abundances	0.16743131 0.16225439 0.10455364 0.04594590 0.03778643 0.03009660 0.02870333 0.02744859 0.02341280 0.02336450 0.02291929 0.02041093 0.01969696 0.01216165 0.01200816 0.01009744 0.00993333 0.00966184 0.00928171 0.00854701 0.00769231 0.00755723 0.00747865 0.00732334 0.00623558 0.00602016 0.00473290 0.00463514 0.00460081 0.00449438 0.00393701 0.00366038 0.00336699 0.00317723 0.00312613 0.00282890 0.00282885 0.00281690 0.00248668 0.00244755 0.00242018 0.00215250 0.00208623 0.00204708 0.00201410 0.00198413 0.00197432 0.00197044 0.00187970 0.00186219 0.00186104 0.00175624 0.00173423 0.00171821 0.00165906 0.00163934 0.00163855 0.00155158 0.00147493 0.00146908 0.00144109 0.00142383 0.00141543 0.00137566 0.00137557 0.00133628 0.00133349 0.00131234 0.00129173 0.00127878 0.00125235 0.00125039 0.00118587 0.00115607 0.00113208 0.00113122 0.00111136 0.00105096 0.00100959 0.00100020
resid	14.96092181372796
coverage	94.34504899173996
