	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.06.23.SBSEP03.R2__NA__NA__230911_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.4196933650722452), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.17116988964243868), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.14386845689071723), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.04682323795241516), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.04631465042334321), ('XBB* (XBB.X)', 0.030775382088822377), ('Other', 0.020597716687889945), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.006918470036738949), ('XBB.2.3* (XBB.2.3.X)', 0.005253236472252592)]
lineages	HZ.1 EG.5.1.4 EG.5.1.1 EG.5.1 XBB.1.16.1 EG.5.1.16 EG.5.2 EG.6.1 XBB.1.16.19 FU.2 GK.4 FL.9 XDB XBB.1.5.78 HK.23 XBB.1.42.1 DV.7.1.6 FL.6 JF.1 XBB.1.27 EG.7 EG.5.1.9 XBB.1.9.4 XCT XBB.1.5.76 HK.3.13 JF.4 GE.1.3 XBB.1.16.24 FL.24.1 GN.1.1 XBB.1.16.10 XBB.1.16.27 FL.27 XBB.1 HK.31 XBB.1.21 EK.2.1 JF.1.1 XBB.1.5.45 HK.30 EG.2 XBB.1.5.109 FL.8 GV.1 XDL EG.2.3 GK.10 EG.5 HK.6 XBB.1.5.94 HK.3.12 XBB.1.5.50 EG.5.1.10 JR.1 HK.13.1 FL.39.1 GW.1.1 FL.13.5 FL.1.5.2 FL.22 HH.8.1 FL.26 EK.1 FL.38 JM.1 HC.3 FL.17 FU.5 HN.7 FL.33.1 FY.2.1 XBB.4.1 FU.1.1.1 FL.1.8 FL.2.2 EG.5.1.13 HS.1.1 FD.1.1 XBB.8.1 HE.1 XCG JJ.1 EG.5.2.4 GE.1.2 FL.30 FL.29 GK.6 GD.3 XBB.1.47.1 XBB.1.5.74 GA.10.1 XDJ XCM EG.5.1.12 XBB.1.5.106
abundances	0.11153041 0.11104884 0.08826391 0.07935474 0.06325285 0.05610860 0.05063423 0.03800643 0.03022487 0.02762885 0.02341146 0.01663010 0.01223833 0.00859693 0.00835536 0.00741212 0.00691847 0.00590675 0.00580809 0.00542797 0.00437193 0.00378788 0.00364882 0.00330757 0.00326710 0.00312500 0.00311656 0.00271003 0.00261780 0.00257029 0.00256924 0.00250390 0.00247445 0.00242836 0.00239638 0.00237812 0.00228171 0.00224853 0.00224761 0.00216920 0.00212596 0.00208975 0.00208124 0.00188822 0.00184890 0.00184684 0.00184654 0.00177344 0.00176018 0.00170670 0.00169837 0.00169681 0.00166221 0.00166015 0.00165753 0.00154842 0.00153805 0.00153677 0.00148368 0.00146411 0.00145730 0.00145491 0.00143524 0.00142801 0.00138570 0.00137552 0.00136054 0.00134694 0.00132875 0.00131062 0.00130524 0.00130254 0.00129912 0.00128921 0.00126103 0.00125270 0.00123762 0.00119976 0.00117130 0.00115631 0.00113338 0.00112412 0.00111940 0.00109774 0.00108829 0.00108342 0.00107549 0.00107105 0.00106403 0.00105951 0.00105708 0.00105671 0.00104167 0.00103918 0.00102618 0.00102512
resid	14.652984269665634
coverage	97.53202019864227
