	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.27.23.PLSEP25.R1__NA__NA__230929_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.20736669369514904), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.1905623988974949), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.15225159900540752), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.12957826648102577), ('Other', 0.09381866804823438), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.06641550599011244), ('XBB.2.3* (XBB.2.3.X)', 0.045844859027745107), ('XBB* (XBB.X)', 0.02199825867595569)]
lineages	XBB.1.9.2 HZ.1 XBB.1.16.19 EG.5.1.4 EG.5.1.13 XBB.2.3.15 XBB.1.16.13 HK.19 XBB.1.5.10 EG.5.1.1 HN.1 XDJ XCY XBB.1.16.21 HK.27 GK.4 JF.4 JZ.1 EG.6.1 XCM XCV HC.2 HN.6 HN.5 EG.5.1.14 XBB.1.16.11 XCZ XBB.1.5.100 HK.20 FL.1.5.2 JF.3 FL.20 EG.2.2 XBB.2.3.17 HK.23 EG.5.1.9 XCR JC.4 FL.2.4 HK.30 XBB.1.5.82 EG.11 GK.10 XBB.1.16.10 JF.1 XCK FY.2.1 FE.1.1.3 HK.6 EG.2.3 FD.5.1 HF.1 HK.4 XBB.2.3.18 XBB.1.9.4 HT.1 XBB.1.36 EK.2 XBB.1.16.29 HV.1.7 GK.7 HB.1 GK.3.2 XBB.1.9.6 GK.8.1 JD.2 HA.2 XBB.1.23 FL.2.2 EG.9 EM.1 XBB.1.16.18 GK.1.10 FL.30 GN.1.4 HZ.3 XBB.1.16.5 JU.1 EG.6.1.2 FL.4.5 HP.1 EG.2.4 XBB.1.5.63 HU.2 XBB.1.5.35 JW.1.1 XBL.1 XBB.1.5.109 XBB.1.16.27 FL.4.4 EG.5.1.12 XDG GE.1.2.2 XBB.1.5.38 HN.2 HK.3.12 GW.1.1 XCW HH.8.1 EG.14 HC.3 JD.1.1.5 HE.1 JJ.1 HK.7 XBB.2.3.7 HK.13.1
abundances	0.10089819 0.07602293 0.05527869 0.04983173 0.04523283 0.03537121 0.03455768 0.03080103 0.02823538 0.02757213 0.02745531 0.02723097 0.02583015 0.01967206 0.01849569 0.01813468 0.01782610 0.01596544 0.01438662 0.01280519 0.01198497 0.01031495 0.00985339 0.00973222 0.00867113 0.00696737 0.00690552 0.00661521 0.00519651 0.00518506 0.00453740 0.00418152 0.00383408 0.00351878 0.00336692 0.00331673 0.00309234 0.00309138 0.00301993 0.00289540 0.00275078 0.00273074 0.00260587 0.00256407 0.00235725 0.00233559 0.00232563 0.00231609 0.00230561 0.00228197 0.00226820 0.00225964 0.00219807 0.00218972 0.00213756 0.00204216 0.00203514 0.00199800 0.00195309 0.00194304 0.00194201 0.00193049 0.00191998 0.00170886 0.00167361 0.00166951 0.00166895 0.00163396 0.00160865 0.00160640 0.00159999 0.00156067 0.00155347 0.00151845 0.00151718 0.00146885 0.00146495 0.00142731 0.00142505 0.00141931 0.00137224 0.00132470 0.00132244 0.00131860 0.00129120 0.00128278 0.00128149 0.00125275 0.00125262 0.00125160 0.00124706 0.00124103 0.00121713 0.00119132 0.00119007 0.00117704 0.00115491 0.00111143 0.00110509 0.00109052 0.00108340 0.00108192 0.00106286 0.00105849 0.00104195 0.00101561 0.00101534
resid	14.145056663358334
coverage	96.64582148948266
