	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.13.23.PLSEP10.R1__NA__NA__230922_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.2718529727909326), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.19898161671360573), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.14894515353035695), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.08792066225296039), ('Other', 0.06218398865800134), ('XBB.2.3* (XBB.2.3.X)', 0.05933745848739559), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.05807677102355946), ('XBB* (XBB.X)', 0.01857003746742844)]
lineages	XBB.1.16.6 EG.5.1.4 HZ.1 EG.2 HK.19 XBB.1.5.70 HK.29 XDB KB.4 XBB.1.16.13 XDJ EG.5.1.16 FT.3.1 HY.1 EG.5.1.10 GJ.1.2.6 FL.1.5.1 XBB.2.3.17 HN.1 HN.5 JF.1.1 HV.1.10 HN.2 XBB.1.5.65 GK.3 HK.3.12 EG.5.1.6 JF.1 EK.2.1 XBB.1.16.4 GK.4 GJ.1.2.5 HK.31 GJ.1 JG.4 JG.1 XBB.1.16.14 EG.5.1.13 EG.2.5 EG.4.5 HN.4.2 FL.11 XBB.1.5.76 HV.1.2 HL.1 HK.1 HK.27 JF.1.1.2 FL.18.1.1 EG.5.1.9 XCZ GK.10 FD.1.1 EG.5.1.14 FY.2.1 KT.1.2 FL.24.1 HC.2 HF.1.1 HK.6 HN.4 HK.30 EG.5.1.7 XBB.1.5.109 HK.24 FL.22 JF.4 GN.1.1 XBB.1.16.2 GY.9 GE.1.3 HN.8 HP.1.1 HV.1.5 GK.7 GK.3.2 FL.15.2 FL.2.3.1 JB.2.1 FL.38 XDG HK.9 GE.1.6 GJ.4 HR.1.1 JC.4 HW.1.1 FL.2.6 JE.1.1.1 HN.6 XBB.1.16.27 XBB.1.16.19 HF.1.2 GK.11 EG.2.4 FE.1.1.4 GG.1 EG.5.1.15 GN.1.4 JR.1 XBB.3.1 KJ.1 FL.2.2 FL.2.1 FU.2 GK.6 KB.3 GJ.1.2.2 HG.2 XCU GB.2 XBB.1.5.94 GJ.6 FE.1.1.2 GY.3 GV.1 EG.1.8 XBB.1.5.27 FU.5 FL.20.1 XBB.1.5.103 XBB.1.16.25 GU.1 XBB.1.5.106 FL.1.8 GJ.5.1 HV.1.7 FD.3 GK.1.10 JF.1.1.1 EG.2.1 GS.3 XDA XCJ EG.2.3 GS.1 GK.5.1 XBB.1.34.1 GS.4 EG.5.1.12 GJ.5 HT.1 JW.1.1 XBB.1.16.24 FL.36 XBB.1.16.15 GY.2 EK.1 XDA.1 HU.2 FL.28 EG.9.1 XBB.1.41.2 JJ.1 XBB.1.5.105 HK.13.1 GJ.1.1 KF.1
abundances	0.06347413 0.05685050 0.04624520 0.04256658 0.03450338 0.03443834 0.03141700 0.02710278 0.02697920 0.02515834 0.02235677 0.01814830 0.01673302 0.01607439 0.01420859 0.01415297 0.01410502 0.01120420 0.01068365 0.01065353 0.01022292 0.00964517 0.00934579 0.00920339 0.00913679 0.00849370 0.00713428 0.00687986 0.00683763 0.00681715 0.00614182 0.00574300 0.00573912 0.00521439 0.00505684 0.00482520 0.00461093 0.00455892 0.00449142 0.00443615 0.00440827 0.00436803 0.00423302 0.00421448 0.00411931 0.00400224 0.00389841 0.00389537 0.00389107 0.00386634 0.00359746 0.00356898 0.00341845 0.00334586 0.00307403 0.00304159 0.00294416 0.00284903 0.00284325 0.00280899 0.00277653 0.00275482 0.00273224 0.00267877 0.00267397 0.00265957 0.00260238 0.00258833 0.00251888 0.00250060 0.00246240 0.00243790 0.00243787 0.00239617 0.00236875 0.00231911 0.00227864 0.00222428 0.00220872 0.00220305 0.00213335 0.00209732 0.00207170 0.00205494 0.00205350 0.00205040 0.00201429 0.00193104 0.00189484 0.00187517 0.00186765 0.00183500 0.00182162 0.00181973 0.00180886 0.00177948 0.00177484 0.00176445 0.00176239 0.00176107 0.00174321 0.00172692 0.00172091 0.00168753 0.00160315 0.00158488 0.00157418 0.00156863 0.00153558 0.00151932 0.00151890 0.00150311 0.00146145 0.00144235 0.00141143 0.00139609 0.00136136 0.00135301 0.00135010 0.00132102 0.00131601 0.00129310 0.00127635 0.00127083 0.00125590 0.00125122 0.00124733 0.00124533 0.00122821 0.00121541 0.00120822 0.00120380 0.00120244 0.00119244 0.00118587 0.00118299 0.00117463 0.00116185 0.00116181 0.00113200 0.00112844 0.00112200 0.00111995 0.00110885 0.00110046 0.00109830 0.00108981 0.00108844 0.00106512 0.00106149 0.00104859 0.00101831 0.00101798 0.00101629 0.00101174 0.00100661 0.00100351 0.00100055
resid	15.71655155863926
coverage	98.4048423235127
