	/home/caceves/clinical_ww_comparison/tutorial_data/freyja_results/9.08.23.PLSEP06.R1__NA__NA__230911_WW__00X.variants.tsv
summarized	[('EG.5* [Omicron (EG.5.X)]', 0.4010538378351044), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.17346970572635764), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.12788371006938612), ('XBB.2.3* (XBB.2.3.X)', 0.06244472713401707), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.055172500960974015), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.0313429509821982), ('Other', 0.026590658924622444), ('XBB* (XBB.X)', 0.02559714115457503)]
lineages	EG.5.1.4 HK.9 JF.1 HZ.1 XBB.1.16.19 HK.28 EG.5.1.1 GJ.1.2.6 XBB.1.16.21 XDJ JF.4 HN.5 EG.5.1.13 GE.1 XBB.2.3.15 GK.3 XBB.1.5.72 HV.1.2 GK.1.1 HN.4 HK.31 HL.2 HK.23 HF.1.1 HV.1.8 HV.1.5 HY.1 EG.1.6 HN.3 GY.3 HK.6 EG.4.2 XBB.1.16.18 GY.8 HN.2 HP.1.1 HK.3.12 XBB.1.5.88 XCZ XBB.1.16.15 EG.2 XBB.1.5.78 HK.7 EG.5.1.3 XBB.1.5.49 EG.4.5 XBB.1.16.4 JF.3 GK.1.1.1 EG.1.2 EG.5.1.16 EG.2.2 HH.2 XBB.1.37.1 JB.1.1 HN.4.2 XBB.1.5.76 GY.9 FE.1.1.3 GV.1 GE.1.5 FL.4.5 GK.3.2 XBB.1.16.24 EG.5.1.10 HN.6 XBB.1.16.31 EG.5.1.9 HK.30 XBB.1.16.29 XBB.1.5.94 GK.1.10 XBB.1.5.105 FT.3.1.1 HV.1.7 EG.2.3 XBB.1.16.10 GY.1.1.1 JR.1 EG.6.1.1 EG.2.4 FY.2.1 KJ.1 XBB.1.16.27 XBB.1.16.16 JG.4 HK.13.1 JC.4 GB.2 JC.2 HK.29 GS.4 XBB.1.5.19 FY.1.4.1 GJ.1.2.5 HH.8.1 XBB.1.16.30 FP.2.1.2 FU.5 KC.1 EG.5.1.12 XBB.1.5.6 HK.15 HR.1.1 HE.1 XCM GY.6 FL.2.3.1 FL.1.5.1 XBB.1.16.32 XBB.1.45.1 GS.3 XCW GJ.4 FL.1.8 FL.2.6 FL.20.1 XDG GE.1.2.2 XBB.1.16.25 GK.4 XCT FL.24.1 XBB.1.5.27 HV.2
abundances	0.17759296 0.07086679 0.04361221 0.03696143 0.03078170 0.02688170 0.02314827 0.02243073 0.02113720 0.01750188 0.01686040 0.01680560 0.01426620 0.01340388 0.01314684 0.01275856 0.01258600 0.01250740 0.01173706 0.01089645 0.01070320 0.00968153 0.00950037 0.00826059 0.00807153 0.00793021 0.00774831 0.00684483 0.00669147 0.00661813 0.00628050 0.00581959 0.00565217 0.00540910 0.00495960 0.00483041 0.00462463 0.00459310 0.00451624 0.00440267 0.00373156 0.00372127 0.00363001 0.00349114 0.00348907 0.00337641 0.00336649 0.00335746 0.00334175 0.00318444 0.00316292 0.00314928 0.00311154 0.00305973 0.00299021 0.00298727 0.00281980 0.00271003 0.00267969 0.00245025 0.00241849 0.00231533 0.00230362 0.00230053 0.00229377 0.00225390 0.00209473 0.00204798 0.00198840 0.00194952 0.00194890 0.00192823 0.00192086 0.00192082 0.00189805 0.00183475 0.00182094 0.00178204 0.00176128 0.00171100 0.00169109 0.00167459 0.00166153 0.00165236 0.00162749 0.00160499 0.00158079 0.00156641 0.00156576 0.00152941 0.00152343 0.00151046 0.00150859 0.00150830 0.00148148 0.00147406 0.00145084 0.00141583 0.00139756 0.00138668 0.00137065 0.00136969 0.00131540 0.00130286 0.00126143 0.00124397 0.00124301 0.00123221 0.00122731 0.00122692 0.00122022 0.00121074 0.00115618 0.00113843 0.00113507 0.00112078 0.00111919 0.00111830 0.00111807 0.00109409 0.00106701 0.00105409 0.00104165 0.00102015 0.00101127
resid	14.02263147083043
coverage	98.42490719994649
