	summarized	lineages	abundances	resid	coverage
10.11.23.SBOCT08.R1.rerun__NA__NA__231023_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.361485146675591), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.18371064591676262), ('XBB* (XBB.X)', 0.11953399239154704), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.11170026284750274), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.0945093905588855), ('Other', 0.03436401357224008), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.01896849236958973), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.006468215215170607)]	HV.1 XBB.1.16.6 EG.2 HZ.1 HS.1.1 XBB.1.30 XBB.1.42.1 XCC XDA GV.1 DV.4 CH.1.1 XBB.1.5.78 HK.30 FK.1 XBB.1.5.32 XBB.1.5.81 XBB.1.27 JF.1 EG.11 XBB.1.5.41 XBB.1.16.15 CH.1.1.24 XBB.1.5.61 GN.4 XBB.1.5.94 XDH FL.24.1 EG.5.2.3 HV.1.7 XBB.1.5.76 FY.2.1 HK.27 FT.3.1 XBB.1.35 JF.3 HV.1.4 XBB.1.5.73 FL.38 HK.26.1 HK.13.1 XDC CH.1.1.6 CH.1.1.4 JF.4 JF.1.1.1 XCZ EG.5.1.12 GK.1.6 GU.1 XBB.1.5.109 XCP EK.2.1 XDG KM.1 XBB.1.5.17 FL.1.5.1 HV.1.9 XBB.1.5.88 FL.1.8 EG.2.2 HZ.2 XBB.1.16.27 GB.2 KG.1 GQ.1.1 FE.1.1.5 HK.31 CH.1.1.31	0.34297549 0.10035000 0.09061904 0.07336374 0.06856265 0.06476386 0.04687527 0.02023329 0.00587122 0.00438467 0.00351288 0.00344919 0.00344396 0.00319829 0.00304813 0.00304414 0.00297619 0.00286533 0.00272306 0.00270270 0.00259069 0.00255535 0.00255265 0.00255009 0.00250627 0.00245549 0.00229410 0.00228311 0.00223964 0.00218341 0.00213774 0.00209479 0.00200803 0.00188047 0.00184758 0.00181598 0.00179910 0.00179617 0.00177871 0.00164941 0.00164524 0.00164150 0.00157150 0.00156212 0.00154044 0.00153599 0.00151918 0.00149681 0.00148834 0.00147664 0.00144829 0.00141044 0.00139974 0.00139428 0.00139397 0.00125332 0.00120736 0.00120424 0.00120120 0.00119904 0.00118765 0.00118110 0.00117944 0.00117578 0.00112628 0.00110558 0.00108717 0.00108548 0.00104015	16.816391378328007	96.78627562451928
10.11.23.PLOCT09.R2.rerun__NA__NA__231023_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.3906757802912098), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.11338232991871686), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.10468468042969864), ('XBB* (XBB.X)', 0.07769375187750514), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.06059749483879674), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.051260805054252664), ('Other', 0.04058756642367991), ('XBB.2.3* (XBB.2.3.X)', 0.02624445965442364), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.005267755133732903)]	HV.1.2 HV.1 EG.5.1.1 HK.23 XBB.1 JF.4 HK.29 GK.3.1 XBB.1.9.2 FU.1 EG.5.1.3 FL.1.5 XBB.1.5.17 XDB HV.1.8 EG.5 HK.27 XBB.1.9 JA.1 EG.4 EG.5.1.7 EG.5.1.9 HV.1.10 HZ.1 FU.2 HZ.2 JF.1.1 EG.5.1.15 HV.1.1 XCV GK.3 FL.32.1 XBB.2.3 FU.3 HN.1 HS.1.1 JD.1.1.1 HK.13 FY.2.1 HK.30 EG.7 XCZ HF.1 FU.5 HN.3 XBB.1.42 XCP FL.4.5 HV.1.7 XBB.1.16.11 XBB.1.16.30 JM.1 FL.1.5.2 HK.6 FL.24 FL.1.3 JG.3 XBB.1.16.32 XBB.1.37.1 EG.2.3 XBB.1.16.31 XDG XBB.1.5.94 FL.23.1 GJ.1.1 XBB.1.35 JD.1.1.5 EG.11 HF.1.1 DV.7.1.5 JF.1.1.2 FL.22 XBB.1.16.10 HZ.3 XBB.1.16.27 EG.1.8 HK.16 FP.2.1.2 XBB.1.31.1 DV.7.1.8 GW.1.1 EG.4.2 JD.1.1.6 XBB.1.9.6 XBB.1.43.1 XBB.1.5.38 HV.1.6.1 XBB.1.16.5 FE.1.1.3 FY.5.2 XBB.1.5.87 EG.14 GJ.4 EG.5.1.12 FL.13.5 HU.1.1 KC.1 XBB.1.7 GA.10.1 HV.1.5 HK.13.1 FL.2.3.1 HK.31 XBL.1 FL.1.8 HK.3.12 GK.1.11 KG.1 XBB.1.16.21 JJ.1 GK.1.6.1 XBB.1.5.50 DV.7.1.6 EG.5.2.2 HR.1.1 XBB.1.29 XCR	0.06493850 0.05683375 0.04043481 0.03640003 0.03350953 0.03056430 0.03011000 0.02949038 0.02518887 0.02460993 0.02403547 0.02295116 0.01982845 0.01977868 0.01890320 0.01823280 0.01820940 0.01701576 0.01608929 0.01348597 0.01171880 0.01149010 0.01147933 0.01138910 0.01127694 0.01112832 0.00945795 0.00912647 0.00901041 0.00890168 0.00843495 0.00817202 0.00716410 0.00678648 0.00617897 0.00542196 0.00536316 0.00533415 0.00498506 0.00481928 0.00451977 0.00433272 0.00398936 0.00378284 0.00366416 0.00356663 0.00349788 0.00348675 0.00345925 0.00332983 0.00314509 0.00312213 0.00303396 0.00260007 0.00247654 0.00246740 0.00242601 0.00237160 0.00226620 0.00213590 0.00210859 0.00191126 0.00186730 0.00174157 0.00170213 0.00169274 0.00166069 0.00162911 0.00161812 0.00160159 0.00159395 0.00159272 0.00158089 0.00156187 0.00154751 0.00154488 0.00154437 0.00149277 0.00147885 0.00147710 0.00146862 0.00145460 0.00144802 0.00143839 0.00143575 0.00142878 0.00142324 0.00137006 0.00132429 0.00130430 0.00130208 0.00130172 0.00128894 0.00128515 0.00126998 0.00126846 0.00124182 0.00122791 0.00120992 0.00119832 0.00118015 0.00117101 0.00116861 0.00116032 0.00114943 0.00113979 0.00113931 0.00112745 0.00112676 0.00111973 0.00110631 0.00110325 0.00106162 0.00105460 0.00101075 0.00100857 0.00100503	16.730783762940984	99.05360666153898
10.11.23.ENCOCT09.R2.rerun__NA__NA__231023_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.39725784495260635), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.15151908522167298), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.11506384149435793), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.10311219850970751), ('Other', 0.06465808154310405), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.059594071229800386), ('XBB* (XBB.X)', 0.041966061930310085), ('Omicron', 0.0016098599939587796), ('XBB.2.3* (XBB.2.3.X)', 0.0010695072949137008), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0010019873910035808)]	HK.3.12 FL.1.5 XBB.1.9.2 EG.5.1.4 EG.5.1.1 HK.1 XCR EG.5.1.9 HZ.2 XBB.1.16.1 HV.1.5 HN.1 FU.1.1 XBB.1.16.19 XBB.1.16.15 XDC FL.6 XBB.1.30 XBB.1.5.10 HK.29 JF.1.1 FL.20.1 FL.8 HV.1.7 HK.30 GK.1.7 XBB.1.27 FU.1.1.1 HF.1.1 JF.1.1.1 EG.7 EG.9 JJ.1 EK.3 HR.1.1 XCV FZ.2 XCF.1 HK.23.1 XBB.1.35 XDG XBB.1.16.21 XBB.1.15.1 XBB.1.45.1 HK.3.5 HK.13.1 HK.27 HK.6 EG.11 XBB.2.9 JF.4 XBB.1.16.10 XBB.1.37 FL.2.1 XBB.1.5.57 XBB.1.5.82 XBB.1.5.35 FY.2.1 XBB.1.26 HK.14 FE.1.1.4 HK.13 HP.1 XAA XBB.1.43.1 FL.22 HU.2 XBB.1.5.109 FP.1 FL.2.3.1 FW.1.1.1 XBB.1.16.27 FU.5 GN.1.4 FL.4.4 HN.7 XBB.1.24 FL.24 FU.4 XBB.2.7 XBB.1.7 HK.15 HV.1.9 HV.1.2 XCW JF.3 FY.1.2.2 FL.39.1 KT.1.2 HK.11.1 XBB.1.16.25 XDL FY.4.2 FR.1.3	0.10804500 0.09391760 0.09366307 0.07105279 0.06375805 0.05378042 0.03833334 0.03551404 0.02763902 0.02561946 0.02440599 0.02112796 0.02076465 0.01889890 0.01739619 0.01523873 0.01441770 0.00822370 0.00806452 0.00789177 0.00732066 0.00616675 0.00607048 0.00480769 0.00467836 0.00445274 0.00442478 0.00436681 0.00384615 0.00375939 0.00372936 0.00356565 0.00324838 0.00313373 0.00313283 0.00312772 0.00301670 0.00296164 0.00281955 0.00280788 0.00279141 0.00272851 0.00261780 0.00239290 0.00234395 0.00232496 0.00226244 0.00220318 0.00215412 0.00215054 0.00214247 0.00213675 0.00210526 0.00194647 0.00194053 0.00187401 0.00186139 0.00184410 0.00183655 0.00179533 0.00173913 0.00171743 0.00165350 0.00160986 0.00159236 0.00158983 0.00157363 0.00155336 0.00147347 0.00145242 0.00140944 0.00136160 0.00131119 0.00127174 0.00125752 0.00125628 0.00124095 0.00123657 0.00123152 0.00120904 0.00120337 0.00120246 0.00119197 0.00117647 0.00117351 0.00114653 0.00109290 0.00107952 0.00106951 0.00103761 0.00103306 0.00103173 0.00102828 0.00100199	15.85069305423617	94.83329431829583
9.27.23.ENCSEP21.R2__NA__NA__230929_WW__00X.variants.tsv	[('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.7923630911484321), ('EG.5* [Omicron (EG.5.X)]', 0.06044047901277071), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.029460218891279217), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.023358662663829983), ('XBB* (XBB.X)', 0.010562696174950318), ('XBB.2.3* (XBB.2.3.X)', 0.004068040738192233), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.001694491193974858), ('Other', 0.0010090789079112681)]	EG.6.1 EG.5.1.4 XBB.1.16.13 FT.3.1 EG.5.1.9 HK.6 HZ.1 JF.1.1 HK.13.1 XBB.1.42.2 EG.10.1 EG.5.1.14 JF.4 EG.5.1.12 HF.1.1 EG.4.2 GJ.1.2.5 HZ.2 XBB.1.16.27 HN.1 FY.2.1 HK.3.12 GW.1.1 HL.1 EG.2.3 EG.14 KJ.1 HV.2 JJ.1 FY.6.2 GN.1.4 HV.1.1 HF.1.2 FU.5 EG.9.1 XBB.1.16.16 XBB.1.5.105 HA.2 GE.1.2.2 JF.3 HV.1.9 EK.2 EU.1.1.3 HK.3.2.2 XBB.3.1 GJ.4 XDG	0.78314245 0.03022493 0.01226417 0.01021940 0.00726552 0.00633734 0.00525839 0.00411339 0.00359164 0.00324931 0.00290583 0.00272483 0.00255350 0.00223513 0.00210672 0.00193097 0.00193050 0.00189388 0.00183619 0.00169449 0.00164438 0.00162420 0.00160977 0.00160098 0.00159455 0.00147638 0.00147565 0.00145438 0.00143787 0.00142912 0.00142057 0.00141809 0.00138435 0.00138265 0.00131291 0.00125809 0.00123471 0.00119065 0.00111881 0.00108551 0.00107722 0.00107411 0.00106695 0.00104932 0.00102914 0.00101873 0.00100908	11.302259247916716	97.08056047888172
10.25.23.PLOCT22.R2__NA__NA__231027_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.6756034454797576), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.10206517171983531), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.03899051215774778), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.03468601593795563), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.02682697770730785), ('Other', 0.02162998426841878), ('XBB* (XBB.X)', 0.012992968456104394), ('XBB.2.3* (XBB.2.3.X)', 0.010319313184192502)]	HK.8 HK.12 HV.1.1 HK.13 EG.5.1.4 EG.5.1.13 HK.19 HV.1 XBB.1.16.1 XBB.1.16.19 XBB.1.9.2 HK.8.1 XBB.1.16.6 EG.5.1.3 JF.4 FL.10.2 XBB.1.16.20 HK.3.12 XDC XBB.1.5.102 EG.5.1.7 HK.15 JJ.1 XCR FL.1.2 EG.5.1.16 JD.1.1.5 XBB.2.3.18 EG.7 EG.1.2 HK.30 EK.3 XBB.1.16.31 JG.3 JG.3.3 EG.5.1.2 JD.1.1.6 HK.29 GK.1.1 HK.6 EG.11 KC.1 XBB.1.16.10 XBB.1.16.24 HV.1.2 HK.9 FL.1 XCS FL.24 EG.5.2.3 EG.9 GK.1.7 EG.14 HV.1.5 GW.1.1 XBB.1.16.30 GK.10 JD.1.1.3 XBB.1.16.27 JD.2 XBB.1.5.50 XBB.1.16.18 EG.5.2.1 GJ.1.2.4 XBB.1.45.1 XDD.1.1.1 XBB.1.42.2 XBB.1.16.23 FU.4 HK.28 GJ.7 XBB.1.16.16 FL.4.6 XBB.1.34.1 XBB.1.16.13 HL.1 EG.2.3 EG.5.1.12 FU.5 HV.1.4 XBB.2.3.1 HK.4 XBB.1.16.32 FP.2.1.2 XBB.1.5.38 EG.4.2 FY.6.2 EG.2.4 HK.13.1 XEG HK.3.2.2 FL.13.5 GK.1.10 XBB.1.16.15 GN.3 KJ.1 HP.1 HF.1.1 GW.2 FY.1.2.2 KT.1.2 EG.5.2.2	0.21988982 0.10103832 0.07788356 0.04294465 0.03567207 0.03451040 0.03222140 0.02763994 0.02370871 0.01872200 0.01471150 0.01156441 0.01143190 0.01087015 0.01067138 0.01020990 0.01019250 0.00976139 0.00963390 0.00952194 0.00875249 0.00831947 0.00751880 0.00651173 0.00578328 0.00514139 0.00483928 0.00463903 0.00454476 0.00404715 0.00403769 0.00361961 0.00361757 0.00350701 0.00350701 0.00346021 0.00338868 0.00334113 0.00312202 0.00305523 0.00300787 0.00297327 0.00296296 0.00290487 0.00288184 0.00278680 0.00265542 0.00262927 0.00252402 0.00233645 0.00229041 0.00226410 0.00225904 0.00219619 0.00216622 0.00204290 0.00201257 0.00197628 0.00197555 0.00194689 0.00178374 0.00177620 0.00175845 0.00175049 0.00169952 0.00165975 0.00163740 0.00162436 0.00160772 0.00160514 0.00158165 0.00150557 0.00150150 0.00148664 0.00143365 0.00138094 0.00135657 0.00134409 0.00133505 0.00133156 0.00131859 0.00131702 0.00130928 0.00128755 0.00124933 0.00124688 0.00123894 0.00122183 0.00119716 0.00119533 0.00118548 0.00117959 0.00110882 0.00109411 0.00108340 0.00108254 0.00107385 0.00106634 0.00106270 0.00103306 0.00102955 0.00102669	15.63712385736176	96.96017122027891
10.06.23.PLOCT03.R2__NA__NA__231006_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.3342141483449609), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.17184027286713383), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.12286558749669088), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.12125027008413378), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.06649306526153882), ('Other', 0.033646103012466226), ('XBB* (XBB.X)', 0.03326894322200149), ('XBB.2.3* (XBB.2.3.X)', 0.02962640010541591)]	EG.2 EG.5.1 XBB.1.5.37 EG.5.1.3 XBB.1.16.11 XBB.1.16.4 HK.19 EG.5.1.4 HY.1 EG.5.1.6 HV.1.2 HK.4 HN.3 FL.1.5.1 EG.6.1 XCY EG.5 XBB.1.42.1 HV.1 XBB.1.5.39 XBB.1.5.40 GJ.5 HN.1 EG.5.1.13 XBB.1.5.103 GJ.1 EG.5.1.2 JF.1.1.2 XBB.1.5.78 XBB.1.16.13 XCZ KB.4 XBB.1.16.14 JD.1.1.1 EG.5.1.9 GJ.1.2.6 HK.27 FU.5 XBB.1.5.76 FL.18.1 GA.3 JG.3.2 HK.6 XBB.1.16.19 HK.31 JF.3 EG.7 HV.1.7 FL.15.3 XBB.1.5.27 HK.13.1 JD.1.2 XCP XBB.1.5.65 XBB.1.5.109 GK.1.10.1 EG.2.3 FT.3.1 XBB.1.5.61 XBB.1.5.74 JD.1.1.6 JM.1 FZ.2 EG.6.1.2 GU.1 KJ.1 EG.11 GK.1.11 XBB.1.5.94 XBB.1.31.2 GJ.1.2.3 XBB.1.5.19 XDG HV.1.8 EG.5.1.12 HK.20 EG.4.1 HJ.1 XBB.1.5.50 EG.5.1.14 EG.2.4 XBB.1.5.99 HZ.1 JF.1.1.1 XCF.2 XBB.1.5.49 XBB.1.5.88 XCG HK.30 JD.1.2.2 HE.1 FY.2.1 XBB.1.16.21 HK.29 XBB.1.16.27 XBB.1.16.18 GE.1.2.2 XBB.1.4.2 XBB.7 JR.1 KB.2 FL.24.1 EG.2.2 FL.31.1 JD.1.1.3 XBB.1.45.1 EG.1.2 XBB.1.37.1 FE.1.1.3 XBB.1.5.6 HK.13.2 HZ.2 FY.4.2	0.08740476 0.05113520 0.04509258 0.04203016 0.04158739 0.04153949 0.03617040 0.03025263 0.02932575 0.02893891 0.02506699 0.02404332 0.02336258 0.02192473 0.02129102 0.02076935 0.01932632 0.01853498 0.01611652 0.01506839 0.01476587 0.01463844 0.01312274 0.01197292 0.00916379 0.00813638 0.00813008 0.00770316 0.00709758 0.00581290 0.00572330 0.00571087 0.00570560 0.00441360 0.00421952 0.00378879 0.00370826 0.00344419 0.00339347 0.00317845 0.00316658 0.00313172 0.00307890 0.00307723 0.00300903 0.00292223 0.00272060 0.00254452 0.00253166 0.00249121 0.00243102 0.00240142 0.00238729 0.00232426 0.00227144 0.00221587 0.00218658 0.00216217 0.00213885 0.00212595 0.00209028 0.00194268 0.00193173 0.00187124 0.00181382 0.00181163 0.00180473 0.00179779 0.00179213 0.00178728 0.00175730 0.00174215 0.00173916 0.00173644 0.00170888 0.00170427 0.00168864 0.00167919 0.00165358 0.00163428 0.00160033 0.00158981 0.00155946 0.00154381 0.00153608 0.00151310 0.00149663 0.00149093 0.00147492 0.00145614 0.00144185 0.00143041 0.00142504 0.00138312 0.00138125 0.00135367 0.00130548 0.00128632 0.00125156 0.00124308 0.00123298 0.00123141 0.00117786 0.00114149 0.00113157 0.00112475 0.00111982 0.00111606 0.00110419 0.00109859 0.00107892 0.00104211 0.00102497	17.302768450520496	97.7059157944019
10.25.23.PLOCT23.R2__NA__NA__231027_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.6062080895035709), ('Other', 0.06296715976819313), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.05880324120449072), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.05625300677386331), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.05107044483628975), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.04357793682141668), ('XBB.2.3* (XBB.2.3.X)', 0.01959059283579835), ('XBB* (XBB.X)', 0.00368375621138346), ('BA.2.86* (BA.2.86.X)', 0.0017549998697477644), ('Omicron', 0.0010960551283986592)]	EG.5.1 HV.1.2 EG.5.1.16 HV.1 FL.1.5.2 XBB.1.9.2 HK.27 XDA EG.6 XCR HV.1.10 XBB.1.16.15 JF.1.1.2 JG.1 HK.30 XBB.1.5.68 JG.3.1 HK.8.1 HK.23 HK.7 XDJ EG.5.1.13 EG.5.1.4 XDC EG.5.2.3 JF.1.1 EG.5.1.14 FL.1.2 EG.5.1.7 JF.3 HA.2 EG.5.1.9 JD.1.1.1 FU.5 JS.1 XBB.1.5.76 GK.10 XBB.1.5.50 FL.32.1 HK.31 XBB.2.3.15 XBB.1.16.19 XBB.1.5.91 HV.1.7 XBB.1.16.14 XBB.2.3.16 FL.2.3.1 XCS HK.29 GK.1.7 XBB.1.5.96 HK.6 FL.2.1 EG.5.1.10 XBB.1.5.99 FT.1 JF.4 JG.3 JG.3.3 GS.4 HK.1.2 GE.1.2.2 JN.1.50.2 XBB.1.5.19 JD.1.1.6 GJ.4 XBB.1.5.78 HK.3.12 EG.2.3 EG.12 HZ.3 KB.2 GK.1.10 XCF.2 KB.3 FE.1.1.4 XCV JR.1.1 HF.1 GE.1.4 XBB.1.16.27 EG.5.1.15 GU.1 XBB.1.5.51 HT.1 KJ.1 HZ.1 EG.11 GM.1 EG.5.2.1 FE.1.1.5 EG.4.2 XBB.1.5.72 EG.5.1.5 GS.6 HK.3.4 EG.5.1.12 XDG JD.1.2.1 JU.1 BF.5.3 HB.1 FL.2.7 XBB.1.5.74 JJ.1 HZ.2	0.20020487 0.09386940 0.07253890 0.06524531 0.02913128 0.02376156 0.02257270 0.02201993 0.02174779 0.01902929 0.01820070 0.01536370 0.01487367 0.01382179 0.01150370 0.01134023 0.01103810 0.01028838 0.00961756 0.00841211 0.00832603 0.00815303 0.00745696 0.00715482 0.00688930 0.00597520 0.00559564 0.00535092 0.00512821 0.00451852 0.00415408 0.00407832 0.00384203 0.00376704 0.00353357 0.00346442 0.00345095 0.00328515 0.00327332 0.00326052 0.00324132 0.00309893 0.00291717 0.00273865 0.00273411 0.00258615 0.00257420 0.00248036 0.00231373 0.00230228 0.00227182 0.00223213 0.00222767 0.00222177 0.00221995 0.00214528 0.00211149 0.00206736 0.00206736 0.00202404 0.00185054 0.00179036 0.00175500 0.00175208 0.00173385 0.00167926 0.00165722 0.00164694 0.00161649 0.00156799 0.00153663 0.00149589 0.00148644 0.00146625 0.00145773 0.00143116 0.00138305 0.00138280 0.00132013 0.00130039 0.00125755 0.00125431 0.00124896 0.00124378 0.00123995 0.00123267 0.00123040 0.00121518 0.00119347 0.00117193 0.00116319 0.00116143 0.00115652 0.00115340 0.00114174 0.00114155 0.00112430 0.00110742 0.00110113 0.00110030 0.00109606 0.00108941 0.00102055 0.00101420 0.00101222 0.00100874	14.939926008307982	97.42166337825637
10.25.23.ENCOCT20.R2__NA__NA__231027_WW__00X.variants.tsv	[('EG.5* [Omicron (EG.5.X)]', 0.5508071164876212), ('XBB.1.9.1* [Omicron (XBB.1.9.1.X)]', 0.16561713165549308), ('Other', 0.08864654563699022), ('XBB.1.9.2* [Omicron (XBB.1.9.2.X)]', 0.04226036842557276), ('XBB.1.16* [Omicron (XBB.1.16.X)]', 0.03380966184656072), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.031275713873853556), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.011586657186585912), ('XBB* (XBB.X)', 0.0033615739912125145)]	HV.1.2 EG.5 EG.5.1 XDJ FL.1.5.2 XBB.1.9.2 EG.5.1.14 EG.5.1.1 EG.5.1.3 DV.7.1.4 HN.1 FL.25 XBB.1.9.1 HK.4 XBB.1.16.19 HK.3.2 JF.1.1 XDF EG.5.1.6 FL.6 FL.29 EG.5.1.13 XBB.1.5.13 FL.3.4 FL.1 HK.29 HK.30 HK.6 FL.1.5 FL.22 FL.16 HN.2 EG.5.1.16 DV.7.1.9 EG.5.1.10 EG.11 FL.24 FL.8 HK.22 XBB.1.16.32 HA.2 EG.9 XCV FL.2.3.1 XBB.1.16.27 EK.2 DV.7.2 JG.1 HK.3.12 FL.38 XBB.1.5.82 JF.3 FL.10.3 FL.1.2 XDG HK.3.4 FL.23.1 FL.4.6 FL.9 EG.2.3 EG.7 FL.32.1 KJ.1 EG.5.1.12 DV.7.1.8 FL.4.4 XBB.1.44.1 FL.4.9 FL.30 XBB.1.5.38 FY.6.2 FL.4.11 XBB.1.16.15 KG.1 HK.16 HU.1	0.15530503 0.13912986 0.10213154 0.07834701 0.04896120 0.03455002 0.03109343 0.03077303 0.02619865 0.02400380 0.02282753 0.02126762 0.01744021 0.01608003 0.01536283 0.01200842 0.01013382 0.00662688 0.00575256 0.00574884 0.00506922 0.00499502 0.00457909 0.00445132 0.00439518 0.00424757 0.00393038 0.00371913 0.00334979 0.00319651 0.00319398 0.00317947 0.00316790 0.00303718 0.00278221 0.00275528 0.00272047 0.00264337 0.00236084 0.00230852 0.00226755 0.00222316 0.00218855 0.00217684 0.00199963 0.00199727 0.00191326 0.00167937 0.00165672 0.00163829 0.00159214 0.00157563 0.00156679 0.00156312 0.00148410 0.00147163 0.00140470 0.00140200 0.00137568 0.00137337 0.00135854 0.00132990 0.00130988 0.00124895 0.00123730 0.00122146 0.00120629 0.00119972 0.00116033 0.00115060 0.00114602 0.00113360 0.00111935 0.00108417 0.00107484 0.00100926	14.664838727810618	96.09403738755309
