sample_id,collection_date,lineage
SRR28116969,2023-10-16,HK.3
SRR28116970,2023-10-17,XBB.2.3.8
SRR28116971,2023-10-16,XBB.1.16.31
SRR28116972,2023-10-15,HV.1
SRR28116973,2023-10-14,FL.1.5.1
SRR28116974,2023-10-13,EG.5.1.15
SRR28116975,2023-10-15,HV.1
SRR28116976,2023-10-14,XBB.1.16.11
SRR28116977,2023-10-15,HV.1
SRR28116979,2023-10-13,EG.5.1.1
SRR28116980,2023-10-13,XCM
SRR28116981,2023-10-18,GK.1.1
SRR28116982,2023-10-16,EG.5.1
SRR28116983,2023-10-13,FL.1.5.1
SRR28116984,2023-10-17,JN.3.3
SRR28116985,2023-10-18,JF.1
SRR28116986,2023-10-18,JG.3
SRR28116987,2023-10-14,XBB.1.16.6
SRR28116988,2023-10-13,JF.4
SRR28116989,2023-10-10,JD.1.1
SRR28116990,2023-10-03,EG.5.1.1
SRR28116991,2023-10-01,EG.5.1
SRR28116992,2023-10-04,EG.5.1.1
SRR28116993,2023-09-28,FU.2
SRR28116994,2023-10-03,FU.2
SRR28116995,2023-10-09,HY.1
SRR28116996,2023-10-09,EG.5.1.1
SRR28116997,2023-10-10,XBB.1.16.14
SRR28116998,2023-10-10,XBC.1.6
SRR28117000,2023-10-03,XBB.2.3.17
SRR28117001,2023-10-05,FT.3.1.1
SRR28117002,2023-09-29,GE.1.2
SRR28117003,2023-09-29,EG.5.1.14
SRR28117004,2023-10-01,FL.1.5.1
SRR28117005,2023-10-03,EG.5.1.3
SRR28117006,2023-10-10,HF.1
SRR28117007,2023-10-03,HV.1
SRR28117008,2023-10-10,EG.5.1.16
SRR28117009,2023-10-05,HS.1
SRR28117010,2023-10-05,HZ.1
SRR28117011,2023-10-01,HV.1
SRR28117012,2023-10-09,EG.5.1
SRR28117013,2023-09-29,FL.1.5.1
SRR28117014,2023-10-04,GJ.1.2
SRR28117015,2023-09-30,XBB.1.16.6
SRR28117016,2023-09-29,FL.1.5.1
SRR28117017,2023-09-28,XBB.1
SRR28117018,2023-10-11,JD.1.1.7
SRR28117019,2023-10-09,HV.1
SRR28117020,2023-09-30,XBB.1.16.6
SRR28117027,2023-10-27,JF.1.1
SRR28117028,2023-10-29,HV.1
SRR28117029,2023-10-25,XBB.1.16.15
SRR28117031,2023-10-22,XBB.1.16.15
SRR28117032,2023-10-22,FU.1
SRR28117033,2023-10-19,HK.32
SRR28117034,2023-10-13,HK.32
SRR28117035,2023-10-13,HK.32
SRR28117036,2023-10-12,EG.5.1.1
SRR28117037,2023-10-09,HK.32
SRR28117038,2023-10-08,FU.1
SRR28117039,2023-10-08,XBB.1.16.15
SRR28117040,2023-10-06,HK.3
SRR28117041,2023-10-06,XBB.1.16.15
SRR28117042,2023-10-04,FU.1
SRR28117043,2023-10-05,HK.32
SRR28117044,2023-10-04,EG.5.1.1
SRR28117045,2023-10-02,FL.15.3
SRR28117046,2023-10-01,FL.1.5.1
SRR28117048,2023-10-03,HK.32
SRR28117049,2023-09-29,FU.1
SRR28117050,2023-10-02,XBB.1.16.15
SRR28117051,2023-09-29,XBB.1.16.6
SRR28117052,2023-10-15,JF.1.1
SRR28117053,2023-10-15,EG.5.1.4
SRR28117054,2023-10-16,HV.1
SRR28117055,2023-10-16,HV.1
SRR28117056,2023-10-16,GK.1.2
SRR28117057,2023-10-15,HV.1.2
SRR28117058,2023-10-13,EG.5.1.16
SRR28117059,2023-09-21,FL.1.5.1
SRR28117060,2023-09-21,JG.3.1
SRR28117061,2023-09-19,EG.5.1.6
SRR28117062,2023-09-21,HK.26
SRR28117063,2023-09-21,HK.3
SRR28117064,2023-09-21,EG.5.1.4
SRR28117065,2023-09-21,FL.1.5.1
SRR28117066,2023-09-19,HV.1
SRR28117067,2023-09-19,HV.1
SRR28117068,2023-09-21,EG.5.1.14
SRR28117069,2023-09-22,EG.5.1.1
SRR28117070,2023-09-22,GK.1.3
SRR28117071,2023-09-20,GK.1
SRR28117072,2023-09-20,EG.5.1.16
SRR28117073,2023-09-22,HN.2
SRR28117074,2023-09-20,HK.3
SRR28117075,2023-09-18,HV.1
SRR28117076,2023-09-18,EG.5.1.4
SRR28117077,2023-09-18,EG.5.1.4
SRR28117078,2023-09-20,JZ.1
SRR28117079,2023-09-18,XBB.1.16.11
SRR28117082,2023-09-18,HV.1.1
SRR28117083,2023-09-18,XBB.1.16.15
SRR28117084,2023-09-27,GZ.1
SRR28117085,2023-09-29,EG.5.2
SRR28117086,2023-10-03,GS.4.1
SRR28117087,2023-10-04,HV.1
SRR28117088,2023-09-27,HK.3
SRR28117089,2023-09-28,EG.5.1.16
SRR28117090,2023-09-27,HV.1
SRR28117091,2023-09-27,EG.5.1.1
SRR28117092,2023-09-29,HV.1
SRR28117093,2023-09-28,EG.5.1.1
SRR28117095,2023-09-28,XBB.1.5.103
SRR28117096,2023-10-12,XBB.1.5.10
SRR28117097,2023-10-12,FL.1.5.1
SRR28117098,2023-10-12,HV.1
SRR28117099,2023-09-28,XBB.1.16.6
SRR28117100,2023-10-12,FL.1.5.1
SRR28117101,2023-10-12,XBB.1.16.6
SRR28117102,2023-10-12,EG.5.1.1
SRR28117103,2023-09-27,XBB.1.16.6
SRR28117104,2023-09-27,XBB.1.16.6
SRR28117105,2023-09-27,XBB.2.3.15
SRR28117106,2023-09-30,EG.5.1.1
SRR28117107,2023-10-12,XCV
SRR28117108,2023-10-12,EG.5.1.6
SRR28117109,2023-10-12,EG.5.1.1
SRR28117110,2023-10-12,HK.28
SRR28117111,2023-10-12,EG.5.1.4
SRR28117112,2023-10-12,HV.1
SRR28117113,2023-10-06,FL.1.5.1
SRR28117114,2023-10-06,GK.1.6.1
SRR28117115,2023-10-06,HK.3
SRR28117116,2023-09-29,FL.2.5
SRR28117117,2023-09-29,FU.1
SRR28117118,2023-09-28,FU.1
SRR28117119,2023-09-27,EG.5.1.13
SRR28117120,2023-09-25,XBB.1.16.6
SRR28117121,2023-09-25,XBB.1.16.15
SRR28117122,2023-09-25,XBB.1.16.6
SRR28117123,2023-09-27,FL.1.5.1
SRR28117124,2023-09-27,XBB.1.16.15
SRR28117125,2023-09-26,FU.1
SRR28117126,2023-09-24,XBB.2.3.15
SRR28117127,2023-09-22,FU.1
SRR28117128,2023-09-19,FL.2.5
SRR28117129,2023-09-20,XBB.1.16.15
SRR28117131,2023-09-18,FL.2.5
SRR28117132,2023-09-15,FL.2.5
SRR28117133,2023-09-14,XBB.1.16.15
SRR28117134,2023-09-13,HR.1.1
SRR28117135,2023-09-13,GS.4.1
SRR28117136,2023-09-12,FL.2.5
SRR28117137,2023-10-23,EG.5.1.14
SRR28117138,2023-10-28,XBB.1.16.5
SRR28117139,2023-10-28,HF.1.1
SRR28117148,2023-10-21,HK.3
SRR28117149,2023-10-20,GJ.1.2
SRR28117150,2023-10-24,EG.5.1
SRR28117151,2023-10-22,XBB.1.5.70
SRR28117152,2023-10-22,XBB.1.16.1
SRR28117153,2023-10-20,GD.1
SRR28117154,2023-10-20,HV.1
SRR28117155,2023-10-20,EG.5.1.3
SRR28117156,2023-10-21,HV.1
SRR28117157,2023-10-22,HF.1.1
SRR28117158,2023-10-26,EG.5.1
SRR28117159,2023-10-26,GS.4
SRR28117160,2023-10-26,JG.3
SRR28117161,2023-10-20,EG.5.1.14
SRR28117162,2023-10-24,EG.5.1.6
SRR28117163,2023-10-25,EG.5.1.16
SRR28117164,2023-10-25,EG.5.1.6
SRR28117165,2023-10-21,HV.1
SRR28117166,2023-10-21,XBB.2.3.15
SRR28117168,2023-10-25,HK.26
SRR28117169,2023-10-25,GJ.1.2.8
SRR28117170,2023-10-21,XBB.1.16.23
SRR28117171,2023-10-22,HZ.1
SRR28117172,2023-10-22,FL.1.5.1
SRR28117173,2023-10-20,HV.1
SRR28117174,2023-10-21,JC.1
SRR28117175,2023-10-20,XBB.1.16.11
SRR28117176,2023-10-21,HK.8.1
SRR28117177,2023-10-22,XBB.1.16.6
SRR28117178,2023-10-22,EG.5.1.1
SRR28117179,2023-10-24,FU.1
SRR28117180,2023-09-13,FL.1.5.1
SRR28117181,2023-09-15,HK.3
SRR28117182,2023-09-15,EG.5.1.1
SRR28117183,2023-09-18,FY.2
SRR28117184,2023-09-15,JF.1.1
SRR28117185,2023-09-15,GY.5
SRR28117186,2023-09-19,GK.1.3
SRR28117187,2023-09-18,HK.29
SRR28117188,2023-09-19,HZ.1
SRR28117189,2023-09-13,FU.2
SRR28117190,2023-09-13,EG.5.1
SRR28117191,2023-09-08,XBB.1.16.6
SRR28117192,2023-09-14,JF.4
SRR28117193,2023-09-14,XBB.1.16.15
SRR28117194,2023-09-14,XBB.1.16.15
SRR28117195,2023-09-14,EG.5.1.13
SRR28117196,2023-09-13,EG.5.1.6
SRR28117197,2023-09-08,HY.1
SRR28117198,2023-09-13,HK.29
SRR28117199,2023-09-13,HK.6
SRR28117201,2023-09-13,XBB.1.5.10
SRR28117202,2023-09-15,EG.5.1.1
SRR28117203,2023-09-08,GE.1.4
SRR28117204,2023-09-14,HV.1
SRR28117205,2023-09-11,JF.1.1
SRR28117208,2023-09-11,EG.5.1
SRR28117210,2023-09-13,HN.5
SRR28117211,2023-09-12,HV.1
SRR28117212,2023-10-06,HV.1
SRR28117213,2023-10-06,GK.1.8
SRR28117214,2023-10-09,HV.1.4
SRR28117215,2023-10-11,HV.1.1
SRR28117216,2023-10-08,EG.5.1.1
SRR28117217,2023-10-09,XBB.1.16
SRR28117218,2023-10-11,XBB.1.16.6
SRR28117219,2023-10-09,FL.1.5.1
SRR28117220,2023-10-10,HK.21
SRR28117221,2023-10-09,HK.3
SRR28117222,2023-10-06,HV.1
SRR28117223,2023-10-06,EG.5.1.3
SRR28117224,2023-10-07,EG.5.1.13
SRR28117225,2023-10-07,JN.5
SRR28117226,2023-10-07,EG.5.2
SRR28117227,2023-10-06,HK.32
SRR28117228,2023-10-07,GE.1
SRR28117229,2023-10-07,XBB.1.16.11
SRR28117230,2023-10-08,XBB.1.5.10
SRR28117231,2023-10-08,EG.5.1.4
SRR28117232,2023-10-09,EG.5.1.4
SRR28117233,2023-10-08,XBB.1.16.6
SRR28117234,2023-10-09,HF.1.1
SRR28117235,2023-10-09,EG.5.1.4
SRR28117236,2023-10-09,HK.3
SRR28117237,2023-10-09,XCV
SRR28117238,2023-10-11,HV.1
SRR28117239,2023-10-11,GK.1.1
SRR28117240,2023-10-10,FL.13.5
SRR28117241,2023-10-10,GK.3.1
SRR28117242,2023-10-10,HZ.1
SRR28117243,2023-10-11,FL.1.5.1
SRR28118056,2023-10-27,EG.5.1.16
SRR28118176,2023-10-31,HV.1
SRR28118305,2023-10-30,HK.3
SRR28118307,2023-10-27,XBB.1.16.6
SRR28118310,2023-10-31,HK.8.1
SRR28118311,2023-10-26,HV.1
SRR28118313,2023-10-31,EG.5.1.4
SRR28118314,2023-10-30,HV.1
SRR28118315,2023-10-30,EG.5.1
SRR28118316,2023-10-30,XCL
SRR28118317,2023-10-30,HK.3.2
SRR28118318,2023-10-31,JD.1.1
SRR28118319,2023-10-31,HK.3
SRR28118323,2023-10-26,HV.1
SRR28118324,2023-10-27,HV.1
SRR28118325,2023-10-26,FL.1.5.1
SRR28118326,2023-10-25,HV.1
SRR28118327,2023-10-26,GE.1
SRR28118328,2023-10-21,JD.1.1
SRR28118330,2023-10-30,XCL
SRR28118333,2023-10-31,HK.3
SRR28118334,2023-10-22,EG.5.1
SRR28118335,2023-10-20,HV.1
SRR28118336,2023-10-22,EG.5.1.16
SRR28118337,2023-10-25,EG.5.1.16
SRR28118453,2023-10-21,HV.1.2
SRR28118454,2023-10-21,XBB.2.3.15
SRR28118455,2023-10-21,FL.1.5.1
SRR28118456,2023-10-21,HV.1
SRR28118457,2023-10-21,JF.1
SRR28118458,2023-10-25,HK.3
SRR28118459,2023-10-26,HV.1
SRR28118460,2023-10-26,XCR
SRR28118461,2023-10-20,JG.3
SRR28118462,2023-10-22,XBB.1.5.10
SRR28118463,2023-10-22,HK.5
SRR28118464,2023-10-26,EG.5.1.3
SRR28118465,2023-10-26,FL.1.5.1
SRR28118466,2023-10-27,HK.20.1
SRR28118467,2023-10-27,HV.1
SRR28118468,2023-10-25,HV.1
SRR28118469,2023-10-22,HV.1
SRR28118470,2023-10-26,HV.1
SRR28118471,2023-10-25,GK.1.1
SRR28118472,2023-10-20,JG.3
SRR28118484,2023-10-31,HV.1
SRR33009742,2023-09-26,JF.2
SRR33010332,2023-10-13,GV.1
SRR33010333,2023-09-30,HY.1
SRR33010334,2023-10-17,HV.1
SRR33010335,2023-10-13,HZ.1
SRR33010336,2023-10-13,GJ.1.2
SRR33010337,2023-10-13,FL.15
SRR33010339,2023-10-06,HN.4
SRR33010340,2023-10-13,FL.3.1
SRR33010343,2023-10-13,HS.1
SRR33010348,2023-10-13,FL.1.5
SRR33010349,2023-10-02,HV.1
SRR33010350,2023-10-23,GJ.1.2
SRR33010351,2023-09-13,GK.2.1
SRR33010352,2023-10-13,EG.5.1.4
SRR33010353,2023-10-13,HY.1
SRR33010357,2023-09-02,EG.5.1
SRR33010358,2023-09-05,HK.3.12
SRR33010370,2023-09-02,EG.5.1.4
SRR33010387,2023-10-24,HV.1
